compartment,outflow_to,tis_percentage,race,compartment_duration,total_population
prison,probation,75%,white,96,0.083333333
prison,probation,75%,white,108,0.077380952
prison,probation,75%,white,120,0.05952381
prison,probation,75%,white,132,0.071428571
prison,probation,75%,white,144,0.029761905
prison,probation,75%,white,156,0.035714286
prison,probation,75%,white,168,0.029761905
prison,probation,75%,white,180,0
prison,probation,75%,white,192,0
prison,probation,75%,white,204,0.011904762
prison,probation,75%,white,216,0
prison,probation,75%,white,228,0.005952381
prison,probation,75%,white,240,0
prison,probation,75%,white,252,0
prison,probation,75%,white,264,0.005952381
prison,probation,75%,white,276,0
prison,probation,75%,white,288,0
prison,probation,75%,white,300,0
prison,probation,75%,white,312,0
prison,probation,75%,white,324,0
prison,probation,75%,white,336,0
prison,probation,75%,white,348,0.005952381
prison,probation,75%,white,360,0
prison,probation,75%,non-white,0,0
prison,probation,75%,non-white,12,0.010714286
prison,probation,75%,non-white,24,0.032142857
prison,probation,75%,non-white,36,0.071428571
prison,probation,75%,non-white,48,0.046428571
prison,probation,75%,non-white,60,0.089285714
prison,probation,75%,non-white,72,0.132142857
prison,probation,75%,non-white,84,0.175
prison,probation,75%,non-white,96,0.121428571
prison,probation,75%,non-white,108,0.075
prison,probation,75%,non-white,120,0.057142857
prison,probation,75%,non-white,132,0.039285714
prison,probation,75%,non-white,144,0.010714286
prison,probation,75%,non-white,156,0.025
prison,probation,75%,non-white,168,0.010714286
prison,probation,75%,non-white,180,0.025
prison,probation,75%,non-white,192,0.010714286
prison,probation,75%,non-white,204,0.014285714
prison,probation,75%,non-white,216,0.017857143
prison,probation,75%,non-white,228,0.010714286
prison,probation,75%,non-white,240,0.003571429
prison,probation,75%,non-white,252,0
prison,probation,75%,non-white,264,0.007142857
prison,probation,75%,non-white,276,0
prison,probation,75%,non-white,288,0
prison,probation,75%,non-white,300,0.007142857
prison,probation,75%,non-white,312,0.007142857
prison,probation,75%,non-white,324,0
prison,probation,75%,non-white,336,0
prison,probation,75%,non-white,348,0
prison,probation,75%,non-white,360,0
