compartment,outflow_to,crime_classification,race,compartment_duration,total_population
prison,probation,class_x,non-white,84,0.0869473238840702
prison,probation,class_x,non-white,96,0.111487201184684
prison,probation,class_x,non-white,108,0.0614202101403286
prison,probation,class_x,non-white,120,0.111910302517453
prison,probation,class_x,non-white,132,0.0240462590790494
prison,probation,class_x,non-white,144,0.0719977434595586
prison,probation,class_x,non-white,156,0.0204498977505112
prison,probation,class_x,non-white,168,0.0267964177420492
prison,probation,class_x,non-white,180,0.056977646146252
prison,probation,class_x,non-white,192,0.020026796417742
prison,probation,class_x,non-white,204,0.0129045906494605
prison,probation,class_x,non-white,216,0.0265143501868698
prison,probation,class_x,non-white,228,0.00394894577251252
prison,probation,class_x,non-white,240,0.0243988435230238
prison,probation,class_x,non-white,252,0.0233410901911008
prison,probation,class_x,non-white,264,0.00867357732176856
prison,probation,class_x,non-white,276,0.00627600310274311
prison,probation,class_x,non-white,288,0.00507721599323038
prison,probation,class_x,non-white,300,0.0155137155348706
prison,probation,class_x,non-white,312,0.00451308088287145
prison,probation,class_x,non-white,324,0.00275015866299979
prison,probation,class_x,non-white,336,0.00401946266130738
prison,probation,class_x,non-white,348,0.001057753331923
prison,probation,class_x,non-white,360,0.0158662999788449
prison,probation,class_x,non-white,372,0.00352584443974332
prison,probation,class_x,non-white,384,0.00211550666384599
prison,probation,class_x,non-white,396,0.00119878710951273
prison,probation,class_x,non-white,408,0.000846202665538396
prison,probation,class_x,non-white,420,0.00451308088287145
prison,probation,class_x,non-white,432,0.00077568577674353
prison,probation,class_x,non-white,444,0.000634651999153797
prison,probation,class_x,non-white,456,0.00077568577674353
prison,probation,class_x,non-white,468,0.000211550666384599
prison,probation,class_x,non-white,480,0.00437204710528171
prison,probation,class_x,non-white,492,0.000141033777589733
prison,probation,class_x,non-white,504,0.000352584443974332
prison,probation,class_x,non-white,516,0.000141033777589733
prison,probation,class_x,non-white,528,0.0000705168887948664
prison,probation,class_x,non-white,540,0.00267964177420492
prison,probation,class_x,non-white,552,0.000211550666384599
prison,probation,class_x,non-white,564,0.0000705168887948664
prison,probation,class_x,non-white,576,0.000141033777589733
prison,probation,class_x,non-white,588,0.0000705168887948664
prison,probation,class_x,non-white,600,0.00246809110782032
prison,probation,class_x,non-white,612,0
prison,probation,class_x,non-white,624,0.0000705168887948664
prison,probation,class_x,non-white,636,0
prison,probation,class_x,non-white,648,0.000141033777589733
prison,probation,class_x,non-white,660,0.001057753331923
prison,probation,class_x,non-white,672,0
prison,probation,class_x,non-white,684,0
prison,probation,class_x,non-white,696,0.0000705168887948664
prison,probation,class_x,non-white,708,0.0000705168887948664
prison,probation,class_x,non-white,720,0.00232705733023059
prison,probation,class_1,white,12,0.000540102619497705
prison,probation,class_1,white,24,0.00148528220361869
prison,probation,class_1,white,36,0.0056710775047259
prison,probation,class_1,white,48,0.339319470699433
prison,probation,class_1,white,60,0.155549554415339
prison,probation,class_1,white,72,0.162435862813935
prison,probation,class_1,white,84,0.0792600594112881
prison,probation,class_1,white,96,0.0900621118012422
prison,probation,class_1,white,108,0.0299756953821226
prison,probation,class_1,white,120,0.052930056710775
prison,probation,class_1,white,132,0.0108020523899541
prison,probation,class_1,white,144,0.022819335673778
prison,probation,class_1,white,156,0.00607615446934918
prison,probation,class_1,white,168,0.00540102619497705
prison,probation,class_1,white,180,0.0167431812044288
prison,probation,class_1,white,192,0.00189035916824197
prison,probation,class_1,white,204,0.00243046178773967
prison,probation,class_1,white,216,0.00432082095598164
prison,probation,class_1,white,228,0.000405076964623278
prison,probation,class_1,white,240,0.00756143667296786
prison,probation,class_1,white,252,0
prison,probation,class_1,white,264,0.000810153929246557
prison,probation,class_1,white,276,0
prison,probation,class_1,white,288,0.000405076964623278
prison,probation,class_1,white,300,0.000675128274372131
prison,probation,class_1,white,312,0.000135025654874426
prison,probation,class_1,white,324,0
prison,probation,class_1,white,336,0.000270051309748852
prison,probation,class_1,white,348,0
prison,probation,class_1,white,360,0.00202538482311639
prison,probation,class_1,non-white,12,0.00110106629578118
prison,probation,class_1,non-white,24,0.00185442744552619
prison,probation,class_1,non-white,36,0.00695410292072323
prison,probation,class_1,non-white,48,0.346024571163653
prison,probation,class_1,non-white,60,0.126680574872508
prison,probation,class_1,non-white,72,0.193324061196106
prison,probation,class_1,non-white,84,0.0688456189151599
prison,probation,class_1,non-white,96,0.0861729253592953
prison,probation,class_1,non-white,108,0.0289174779786741
prison,probation,class_1,non-white,120,0.0494320815948076
prison,probation,class_1,non-white,132,0.00840287436254057
prison,probation,class_1,non-white,144,0.0240496059341678
prison,probation,class_1,non-white,156,0.00643254520166898
prison,probation,class_1,non-white,168,0.00863467779323134
prison,probation,class_1,non-white,180,0.0156467315716273
prison,probation,class_1,non-white,192,0.0026657394529439
prison,probation,class_1,non-white,204,0.00156467315716273
prison,probation,class_1,non-white,216,0.00399860917941586
prison,probation,class_1,non-white,228,0.00115901715345387
prison,probation,class_1,non-white,240,0.0108947612424664
prison,probation,class_1,non-white,252,0.000289754288363468
prison,probation,class_1,non-white,264,0.000637459434399629
prison,probation,class_1,non-white,276,0.000405656003708855
prison,probation,class_1,non-white,288,0.000521557719054242
prison,probation,class_1,non-white,300,0.0017964765878535
prison,probation,class_1,non-white,312,0.000405656003708855
prison,probation,class_1,non-white,324,0.000115901715345387
prison,probation,class_1,non-white,336,0.000927213722763097
prison,probation,class_1,non-white,348,0.000115901715345387
prison,probation,class_1,non-white,360,0.00197032916087158
prison,probation,class_2,white,12,0.000437417984127976
prison,probation,class_2,white,24,0.00287446103855527
prison,probation,class_2,white,36,0.443791789039555
prison,probation,class_2,white,48,0.206398800224958
prison,probation,class_2,white,60,0.122164594138599
prison,probation,class_2,white,72,0.106355058426545
prison,probation,class_2,white,84,0.0509904392926326
prison,probation,class_2,white,96,0.0234331062925701
prison,probation,class_2,white,108,0.00912328938324064
prison,probation,class_2,white,120,0.0165593951134162
prison,probation,class_2,white,132,0.002562019621321
prison,probation,class_2,white,144,0.00574892207711054
prison,probation,class_2,white,156,0.00137474223583078
prison,probation,class_2,white,168,0.00362432043991752
prison,probation,class_2,white,180,0.00137474223583078
prison,probation,class_2,white,192,0.000312441417234269
prison,probation,class_2,white,204,0.000312441417234269
prison,probation,class_2,white,216,0.000812347684809098
prison,probation,class_2,white,228,0.0000624882834468537
prison,probation,class_2,white,240,0.000874835968255952
prison,probation,class_2,white,252,0.0000624882834468537
prison,probation,class_2,white,264,0.000124976566893707
prison,probation,class_2,white,276,0
prison,probation,class_2,white,288,0.000124976566893707
prison,probation,class_2,white,300,0.000187464850340561
prison,probation,class_2,white,312,0.000249953133787415
prison,probation,class_2,white,324,0
prison,probation,class_2,white,336,0.0000624882834468537
prison,probation,class_2,white,348,0
prison,probation,class_2,non-white,12,0.000796013013082301
prison,probation,class_2,non-white,24,0.0036339724510279
prison,probation,class_2,non-white,36,0.436976534920745
prison,probation,class_2,non-white,48,0.162836575067488
prison,probation,class_2,non-white,60,0.0805011421056275
