compartment,outflow_to,offense,age,compartment_duration,rate_by_age,rate_by_offense,total_population
release,prison,Robbery,66,3,0.04,0.08,0.06
release,release_permanently,Robbery,66,3,,,0.78
release,prison,Sexual offenses,66,1,0.08,0.13,0.105
release,prison,Sexual offenses,66,2,0.04,0.09,0.065
release,prison,Sexual offenses,66,3,0.04,0.06,0.05
release,release_permanently,Sexual offenses,66,3,,,0.78
release,prison,Theft/forgery/fraud,66,1,0.08,0.08,0.08
release,prison,Theft/forgery/fraud,66,2,0.04,0.11,0.075
release,prison,Theft/forgery/fraud,66,3,0.04,0.08,0.06
release,release_permanently,Theft/forgery/fraud,66,3,,,0.785
release,prison,Violent personal,66,1,0.08,0.11,0.095
release,prison,Violent personal,66,2,0.04,0.08,0.06
release,prison,Violent personal,66,3,0.04,0.07,0.055
release,release_permanently,Violent personal,66,3,,,0.79
release,prison,Weapons,66,1,0.08,0.08,0.08
release,prison,Weapons,66,2,0.04,0.11,0.075
release,prison,Weapons,66,3,0.04,0.09,0.065
release,release_permanently,Weapons,66,3,,,0.78
release,prison,Burglary,67,1,0.08,0.1,0.09
release,prison,Burglary,67,2,0.04,0.11,0.075
release,prison,Burglary,67,3,0.04,0.08,0.06
release,release_permanently,Burglary,67,3,,,0.775
release,prison,Drug offenses,67,1,0.08,0.05,0.065
release,prison,Drug offenses,67,2,0.04,0.07,0.055
release,prison,Drug offenses,67,3,0.04,0.07,0.055
release,release_permanently,Drug offenses,67,3,,,0.825
release,prison,murder/manslaughter,67,1,0.08,0.07,0.075
release,prison,murder/manslaughter,67,2,0.04,0.06,0.05
release,prison,murder/manslaughter,67,3,0.04,0.05,0.045
release,release_permanently,murder/manslaughter,67,3,,,0.83
release,prison,Other,67,1,0.08,0.08,0.08
release,prison,Other,67,2,0.04,0.11,0.075
release,prison,Other,67,3,0.04,0.09,0.065
release,release_permanently,Other,67,3,,,0.78
release,prison,Robbery,67,1,0.08,0.1,0.09
release,prison,Robbery,67,2,0.04,0.1,0.07
release,prison,Robbery,67,3,0.04,0.08,0.06
release,release_permanently,Robbery,67,3,,,0.78
release,prison,Sexual offenses,67,1,0.08,0.13,0.105
release,prison,Sexual offenses,67,2,0.04,0.09,0.065
release,prison,Sexual offenses,67,3,0.04,0.06,0.05
release,release_permanently,Sexual offenses,67,3,,,0.78
release,prison,Theft/forgery/fraud,67,1,0.08,0.08,0.08
release,prison,Theft/forgery/fraud,67,2,0.04,0.11,0.075
release,prison,Theft/forgery/fraud,67,3,0.04,0.08,0.06
release,release_permanently,Theft/forgery/fraud,67,3,,,0.785
release,prison,Violent personal,67,1,0.08,0.11,0.095
release,prison,Violent personal,67,2,0.04,0.08,0.06
release,prison,Violent personal,67,3,0.04,0.07,0.055
release,release_permanently,Violent personal,67,3,,,0.79
release,prison,Weapons,67,1,0.08,0.08,0.08
release,prison,Weapons,67,2,0.04,0.11,0.075
release,prison,Weapons,67,3,0.04,0.09,0.065
release,release_permanently,Weapons,67,3,,,0.78
release,prison,Burglary,68,1,0.08,0.1,0.09
release,prison,Burglary,68,2,0.04,0.11,0.075
release,prison,Burglary,68,3,0.04,0.08,0.06
release,release_permanently,Burglary,68,3,,,0.775
release,prison,Drug offenses,68,1,0.08,0.05,0.065
release,prison,Drug offenses,68,2,0.04,0.07,0.055
release,prison,Drug offenses,68,3,0.04,0.07,0.055
release,release_permanently,Drug offenses,68,3,,,0.825
release,prison,murder/manslaughter,68,1,0.08,0.07,0.075
release,prison,murder/manslaughter,68,2,0.04,0.06,0.05
release,prison,murder/manslaughter,68,3,0.04,0.05,0.045
release,release_permanently,murder/manslaughter,68,3,,,0.83
release,prison,Other,68,1,0.08,0.08,0.08
release,prison,Other,68,2,0.04,0.11,0.075
release,prison,Other,68,3,0.04,0.09,0.065
release,release_permanently,Other,68,3,,,0.78
release,prison,Robbery,68,1,0.08,0.1,0.09
release,prison,Robbery,68,2,0.04,0.1,0.07
release,prison,Robbery,68,3,0.04,0.08,0.06
release,release_permanently,Robbery,68,3,,,0.78
release,prison,Sexual offenses,68,1,0.08,0.13,0.105
release,prison,Sexual offenses,68,2,0.04,0.09,0.065
release,prison,Sexual offenses,68,3,0.04,0.06,0.05
release,release_permanently,Sexual offenses,68,3,,,0.78
release,prison,Theft/forgery/fraud,68,1,0.08,0.08,0.08
release,prison,Theft/forgery/fraud,68,2,0.04,0.11,0.075
release,prison,Theft/forgery/fraud,68,3,0.04,0.08,0.06
release,release_permanently,Theft/forgery/fraud,68,3,,,0.785
release,prison,Violent personal,68,1,0.08,0.11,0.095
release,prison,Violent personal,68,2,0.04,0.08,0.06
release,prison,Violent personal,68,3,0.04,0.07,0.055
release,release_permanently,Violent personal,68,3,,,0.79
release,prison,Weapons,68,1,0.08,0.08,0.08
release,prison,Weapons,68,2,0.04,0.11,0.075
release,prison,Weapons,68,3,0.04,0.09,0.065
release,release_permanently,Weapons,68,3,,,0.78
release,prison,Burglary,69,1,0.08,0.1,0.09
release,prison,Burglary,69,2,0.04,0.11,0.075
release,prison,Burglary,69,3,0.04,0.08,0.06
release,release_permanently,Burglary,69,3,,,0.775
release,prison,Drug offenses,69,1,0.08,0.05,0.065
release,prison,Drug offenses,69,2,0.04,0.07,0.055
release,prison,Drug offenses,69,3,0.04,0.07,0.055
release,release_permanently,Drug offenses,69,3,,,0.825
release,prison,murder/manslaughter,69,1,0.08,0.07,0.075
release,prison,murder/manslaughter,69,2,0.04,0.06,0.05
release,prison,murder/manslaughter,69,3,0.04,0.05,0.045
