,compartment,outflow_to,offense,age,compartment_duration,rate_by_age,rate_by_offense,total_population,time_step
585,release,prison,murder/manslaughter,71,2.0,0.04,0.06,0.05,
586,release,prison,murder/manslaughter,71,3.0,0.04,0.05,0.045,
587,release,release_permanently,murder/manslaughter,71,3.0,,,0.83,
588,release,prison,Other,71,1.0,0.08,0.08,0.08,
589,release,prison,Other,71,2.0,0.04,0.11,0.075,
590,release,prison,Other,71,3.0,0.04,0.09,0.065,
591,release,release_permanently,Other,71,3.0,,,0.78,
592,release,prison,Robbery,71,1.0,0.08,0.1,0.09,
593,release,prison,Robbery,71,2.0,0.04,0.1,0.07,
594,release,prison,Robbery,71,3.0,0.04,0.08,0.06,
595,release,release_permanently,Robbery,71,3.0,,,0.78,
596,release,prison,Sexual offenses,71,1.0,0.08,0.13,0.105,
597,release,prison,Sexual offenses,71,2.0,0.04,0.09,0.065,
598,release,prison,Sexual offenses,71,3.0,0.04,0.06,0.05,
599,release,release_permanently,Sexual offenses,71,3.0,,,0.78,
600,release,prison,Theft/forgery/fraud,71,1.0,0.08,0.08,0.08,
601,release,prison,Theft/forgery/fraud,71,2.0,0.04,0.11,0.075,
602,release,prison,Theft/forgery/fraud,71,3.0,0.04,0.08,0.06,
603,release,release_permanently,Theft/forgery/fraud,71,3.0,,,0.785,
604,release,prison,Violent personal,71,1.0,0.08,0.11,0.095,
605,release,prison,Violent personal,71,2.0,0.04,0.08,0.06,
606,release,prison,Violent personal,71,3.0,0.04,0.07,0.055,
607,release,release_permanently,Violent personal,71,3.0,,,0.79,
608,release,prison,Weapons,71,1.0,0.08,0.08,0.08,
609,release,prison,Weapons,71,2.0,0.04,0.11,0.075,
610,release,prison,Weapons,71,3.0,0.04,0.09,0.065,
611,release,release_permanently,Weapons,71,3.0,,,0.78,
612,release,prison,Burglary,72,1.0,0.08,0.1,0.09,
613,release,prison,Burglary,72,2.0,0.04,0.11,0.075,
614,release,prison,Burglary,72,3.0,0.04,0.08,0.06,
615,release,release_permanently,Burglary,72,3.0,,,0.775,
616,release,prison,Drug offenses,72,1.0,0.08,0.05,0.065,
617,release,prison,Drug offenses,72,2.0,0.04,0.07,0.055,
618,release,prison,Drug offenses,72,3.0,0.04,0.07,0.055,
619,release,release_permanently,Drug offenses,72,3.0,,,0.825,
620,release,prison,murder/manslaughter,72,1.0,0.08,0.07,0.075,
621,release,prison,murder/manslaughter,72,2.0,0.04,0.06,0.05,
622,release,prison,murder/manslaughter,72,3.0,0.04,0.05,0.045,
623,release,release_permanently,murder/manslaughter,72,3.0,,,0.83,
624,release,prison,Other,72,1.0,0.08,0.08,0.08,
625,release,prison,Other,72,2.0,0.04,0.11,0.075,
626,release,prison,Other,72,3.0,0.04,0.09,0.065,
627,release,release_permanently,Other,72,3.0,,,0.78,
628,release,prison,Robbery,72,1.0,0.08,0.1,0.09,
629,release,prison,Robbery,72,2.0,0.04,0.1,0.07,
630,release,prison,Robbery,72,3.0,0.04,0.08,0.06,
631,release,release_permanently,Robbery,72,3.0,,,0.78,
632,release,prison,Sexual offenses,72,1.0,0.08,0.13,0.105,
633,release,prison,Sexual offenses,72,2.0,0.04,0.09,0.065,
634,release,prison,Sexual offenses,72,3.0,0.04,0.06,0.05,
635,release,release_permanently,Sexual offenses,72,3.0,,,0.78,
636,release,prison,Theft/forgery/fraud,72,1.0,0.08,0.08,0.08,
637,release,prison,Theft/forgery/fraud,72,2.0,0.04,0.11,0.075,
638,release,prison,Theft/forgery/fraud,72,3.0,0.04,0.08,0.06,
639,release,release_permanently,Theft/forgery/fraud,72,3.0,,,0.785,
640,release,prison,Violent personal,72,1.0,0.08,0.11,0.095,
641,release,prison,Violent personal,72,2.0,0.04,0.08,0.06,
642,release,prison,Violent personal,72,3.0,0.04,0.07,0.055,
643,release,release_permanently,Violent personal,72,3.0,,,0.79,
644,release,prison,Weapons,72,1.0,0.08,0.08,0.08,
645,release,prison,Weapons,72,2.0,0.04,0.11,0.075,
646,release,prison,Weapons,72,3.0,0.04,0.09,0.065,
647,release,release_permanently,Weapons,72,3.0,,,0.78,
648,release,prison,Burglary,73,1.0,0.08,0.1,0.09,
649,release,prison,Burglary,73,2.0,0.04,0.11,0.075,
650,release,prison,Burglary,73,3.0,0.04,0.08,0.06,
651,release,release_permanently,Burglary,73,3.0,,,0.775,
652,release,prison,Drug offenses,73,1.0,0.08,0.05,0.065,
653,release,prison,Drug offenses,73,2.0,0.04,0.07,0.055,
654,release,prison,Drug offenses,73,3.0,0.04,0.07,0.055,
655,release,release_permanently,Drug offenses,73,3.0,,,0.825,
656,release,prison,murder/manslaughter,73,1.0,0.08,0.07,0.075,
657,release,prison,murder/manslaughter,73,2.0,0.04,0.06,0.05,
658,release,prison,murder/manslaughter,73,3.0,0.04,0.05,0.045,
659,release,release_permanently,murder/manslaughter,73,3.0,,,0.83,
660,release,prison,Other,73,1.0,0.08,0.08,0.08,
661,release,prison,Other,73,2.0,0.04,0.11,0.075,
662,release,prison,Other,73,3.0,0.04,0.09,0.065,
663,release,release_permanently,Other,73,3.0,,,0.78,
664,release,prison,Robbery,73,1.0,0.08,0.1,0.09,
665,release,prison,Robbery,73,2.0,0.04,0.1,0.07,
666,release,prison,Robbery,73,3.0,0.04,0.08,0.06,
667,release,release_permanently,Robbery,73,3.0,,,0.78,
668,release,prison,Sexual offenses,73,1.0,0.08,0.13,0.105,
669,release,prison,Sexual offenses,73,2.0,0.04,0.09,0.065,
670,release,prison,Sexual offenses,73,3.0,0.04,0.06,0.05,
