fips,year,population
17193,2010,9020
17195,2010,36957
17197,2010,453463
17199,2010,43360
17201,2010,193738
17203,2010,24723
18001,2010,20604
18003,2010,233789
18005,2010,50104
18007,2010,5587
18009,2010,8143
18011,2010,37112
18013,2010,10061
18015,2010,12963
18017,2010,24937
18019,2010,74691
18021,2010,17574
18023,2010,21041
18025,2010,7048
18027,2010,19578
18029,2010,33204
18031,2010,16618
18033,2010,27568
18035,2010,81123
18037,2010,27033
18039,2010,126376
18041,2010,15487
18043,2010,50253
18045,2010,10814
18047,2010,14917
18049,2010,13161
18051,2010,21767
18053,2010,46259
18055,2010,21408
18057,2010,182381
18059,2010,46074
18061,2010,26263
18063,2010,97123
18065,2010,32526
18067,2010,53245
18069,2010,24502
18071,2010,27867
18073,2010,21783
18075,2010,13302
18077,2010,21816
18079,2010,18814
18081,2010,92327
18083,2010,25633
18085,2010,50450
18087,2010,22077
18089,2010,325500
18091,2010,74762
18093,2010,29652
18095,2010,86486
18097,2010,617986
18099,2010,29729
18101,2010,6707
18103,2010,24837
18105,2010,105482
18107,2010,24713
18109,2010,45968
18111,2010,9207
18113,2010,30911
18115,2010,3994
18117,2010,12728
18119,2010,14309
18121,2010,11542
18123,2010,13046
18125,2010,8219
18127,2010,111364
18129,2010,17211
18131,2010,8502
18133,2010,26370
18135,2010,16494
18137,2010,18327
18139,2010,11148
18141,2010,177058
18143,2010,16207
18145,2010,29311
18147,2010,13731
18149,2010,15164
18151,2010,22725
18153,2010,14513
18155,2010,6827
18157,2010,126685
18159,2010,10182
18161,2010,4924
18163,2010,120438
18165,2010,10341
18167,2010,74401
18169,2010,20907
18171,2010,5497
18173,2010,39084
18175,2010,18605
18177,2010,44470
18179,2010,17725
18181,2010,15539
18183,2010,21980
19001,2010,4641
19003,2010,2483
19005,2010,8832
19007,2010,7907
19009,2010,3650
19011,2010,16668
19013,2010,89154
19015,2010,17089
19017,2010,15691
19019,2010,13037
19021,2010,13151
19023,2010,9030
19025,2010,6180
19027,2010,12770
19029,2010,8396
19031,2010,11720
19033,2010,28448
19035,2010,7438
19037,2010,7600
19039,2010,5794
19041,2010,10415
19043,2010,11165
19045,2010,31319
19047,2010,10602
19049,2010,43358
19051,2010,5122
19053,2010,5338
19055,2010,11214
19057,2010,25420
19059,2010,10275
19061,2010,61032
19063,2010,6458
19065,2010,13039
19067,2010,9900
19069,2010,6565
19071,2010,4622
19073,2010,5645
19075,2010,7717
19077,2010,6643
19079,2010,9709
19081,2010,6992
19083,2010,10662
19085,2010,9393
19087,2010,13069
19089,2010,5737
19091,2010,5911
19093,2010,4205
19095,2010,10326
19097,2010,12426
19099,2010,23805
19101,2010,11866
19103,2010,97828
19105,2010,13373
19107,2010,6511
19109,2010,9285
19111,2010,23371
19113,2010,140890
19115,2010,7300
19117,2010,5353
19119,2010,6936
19121,2010,9829
19123,2010,14249
19125,2010,21220
19127,2010,25538
19129,2010,9937
19131,2010,6274
19133,2010,5404
19135,2010,4927
19137,2010,6556
19139,2010,27683
19141,2010,8663
19143,2010,3978
19145,2010,10046
19147,2010,5684
19149,2010,15565
19151,2010,4422
19153,2010,292061
19155,2010,61293
19157,2010,12193
19159,2010,2880
19161,2010,6150
19163,2010,109768
19165,2010,7315
19167,2010,21357
19169,2010,67182
19171,2010,10822
19173,2010,3776
19175,2010,7784
19177,2010,4591
19179,2010,23086
19181,2010,30206
19183,2010,13444
19185,2010,3770
19187,2010,24729
19189,2010,6837
19191,2010,14052
19193,2010,66511
19195,2010,4819
19197,2010,7894
20001,2010,8319
20003,2010,4748
20005,2010,10911
20007,2010,2995
20009,2010,17370
20011,2010,9299
20013,2010,6063
20015,2010,43046
20017,2010,1694
20019,2010,2166
20021,2010,13658
20023,2010,1544
20025,2010,1263
20027,2010,5130
20029,2010,5851
20031,2010,5407
20033,2010,1070
20035,2010,23215
20037,2010,26389
20039,2010,1687
20041,2010,12201
20043,2010,5220
20045,2010,83457
20047,2010,1877
20049,2010,1685
20051,2010,19523
20053,2010,4291
20055,2010,23872
20057,2010,21745
20059,2010,16682
20061,2010,23075
20063,2010,1551
20065,2010,1524
20067,2010,4929
20069,2010,3763
20071,2010,776
20073,2010,3978
20075,2010,1671
20077,2010,3563
20079,2010,21447
20081,2010,2734
20083,2010,1147
20085,2010,8455
20087,2010,12341
20089,2010,1751
20091,2010,365827
20093,2010,2484
20095,2010,4758
20097,2010,1654
20099,2010,13642
20101,2010,1058
20103,2010,51993
20105,2010,1944
20107,2010,5924
20109,2010,1682
20111,2010,22828
20113,2010,18155
20115,2010,7724
20117,2010,6025
20119,2010,2732
20121,2010,21248
20123,2010,3884
20125,2010,22262
20127,2010,3565
20129,2010,1964
20131,2010,5951
20133,2010,10262
20135,2010,1775
20137,2010,3708
20139,2010,10223
20141,2010,2246
20143,2010,3787
20145,2010,4580
20147,2010,3379
20149,2010,13671
20151,2010,5990
20153,2010,1466
20155,2010,40803
20157,2010,2851
20159,2010,6313
20161,2010,54735
20163,2010,3151
20165,2010,1999
20167,2010,4175
20169,2010,36171
20171,2010,3009
20173,2010,328333
20175,2010,14799
20177,2010,115651
20179,2010,1472
20181,2010,3721
20183,2010,2224
20185,2010,2666
20187,2010,1361
20189,2010,3542
20191,2010,15191
20193,2010,5215
20195,2010,1842
20197,2010,4448
20199,2010,889
20201,2010,3369
20203,2010,1332
20205,2010,5726
20207,2010,1986
20209,2010,103227
21001,2010,12477
21003,2010,13054
21005,2010,14437
21007,2010,5304
21009,2010,27238
21011,2010,7522
21013,2010,19164
21015,2010,79532
21017,2010,13004
21019,2010,32636
21021,2010,19056
21023,2010,5549
21025,2010,9513
21027,2010,12925
21029,2010,50764
21031,2010,8268
21033,2010,8322
21035,2010,26127
21037,2010,61950
21039,2010,3191
21041,2010,7140
21043,2010,18285
21045,2010,10319
21047,2010,48068
21049,2010,23691
21051,2010,15280
21053,2010,6569
21055,2010,5863
21057,2010,4298
21059,2010,62830
21061,2010,8073
21063,2010,5385
21065,2010,9687
21067,2010,212244
21069,2010,9389
21071,2010,27272
21073,2010,33478
21075,2010,4457
21077,2010,5753
21079,2010,11274
21081,2010,16271
21083,2010,23590
21085,2010,16837
21087,2010,7205
21089,2010,23800
21091,2010,5533
21093,2010,72019
21095,2010,19568
21097,2010,12283
21099,2010,11759
21101,2010,30587
21103,2010,10071
21105,2010,3000
21107,2010,30638
21109,2010,9022
21111,2010,499430
21113,2010,32704
21115,2010,15751
21117,2010,108498
21119,2010,11259
21121,2010,20748
21123,2010,9219
21125,2010,39452
21127,2010,10571
21129,2010,5425
21131,2010,7698
21133,2010,16558
21135,2010,9114
21137,2010,16017
21139,2010,6192
21141,2010,17222
21143,2010,5523
21145,2010,42381
21147,2010,12713
21149,2010,6091
21151,2010,59077
21153,2010,8949
21155,2010,13252
21157,2010,20066
21159,2010,9162
21161,2010,11295
21163,2010,19181
21165,2010,4185
21167,2010,13853
21169,2010,6490
21171,2010,7027
21173,2010,17684
21175,2010,9643
21177,2010,20880
21179,2010,29102
21181,2010,4608
21183,2010,15224
21185,2010,41150
21187,2010,7068
21189,2010,3104
21191,2010,10129
21193,2010,19731
21195,2010,44483
21197,2010,8428
21199,2010,40967
21201,2010,1464
21203,2010,11303
21205,2010,16700
21207,2010,11290
21209,2010,32188
21211,2010,28418
21213,2010,11277
21215,2010,11820
21217,2010,16163
21219,2010,7798
21221,2010,8949
21223,2010,5860
21225,2010,10445
21227,2010,80124
21229,2010,7584
21231,2010,13615
21233,2010,8895
21235,2010,23693
21237,2010,4743
21239,2010,16873
22001,2010,39929
22003,2010,17533
22005,2010,72507
22007,2010,15613
22009,2010,27493
22011,2010,23536
22013,2010,8941
22015,2010,78138
22017,2010,168441
22019,2010,127960
22021,2010,6647
22023,2010,4648
22025,2010,6945
22027,2010,11664
22029,2010,13474
22031,2010,17398
22033,2010,306607
22035,2010,5119
22037,2010,14165
22039,2010,21908
22041,2010,12923
22043,2010,15394
22045,2010,47762
22047,2010,23264
22049,2010,10450
22051,2010,292671
22053,2010,20108
22055,2010,154087
22057,2010,64979
22059,2010,9773
22061,2010,33579
22063,2010,86114
22065,2010,8217
22067,2010,17844
22069,2010,26174
22071,2010,248594
22073,2010,101525
22075,2010,15329
22077,2010,14778
22079,2010,85551
22081,2010,5788
22083,2010,13365
22085,2010,15132
22087,2010,25528
