fips,year,population
20191,2010,24118
20193,2010,7930
20195,2010,3006
20197,2010,7049
20199,2010,1480
20201,2010,5785
20203,2010,2239
20205,2010,9389
20207,2010,3308
20209,2010,157633
21001,2010,18757
21003,2010,20037
21005,2010,21470
21007,2010,8260
21009,2010,42116
21011,2010,11618
21013,2010,28709
21015,2010,119373
21017,2010,19965
21019,2010,49602
21021,2010,28674
21023,2010,8513
21025,2010,13857
21027,2010,20043
21029,2010,74500
21031,2010,12735
21033,2010,13010
21035,2010,37348
21037,2010,90623
21039,2010,5083
21041,2010,10806
21043,2010,27746
21045,2010,15984
21047,2010,74130
21049,2010,35603
21051,2010,21660
21053,2010,10244
21055,2010,9297
21057,2010,6864
21059,2010,96704
21061,2010,12228
21063,2010,7843
21065,2010,14713
21067,2010,296848
21069,2010,14400
21071,2010,39930
21073,2010,49253
21075,2010,6807
21077,2010,8612
21079,2010,16941
21081,2010,24677
21083,2010,37262
21085,2010,25786
21087,2010,11230
21089,2010,36885
21091,2010,8551
21093,2010,106950
21095,2010,29222
21097,2010,18810
21099,2010,18188
21101,2010,46260
21103,2010,15376
21105,2010,4860
21107,2010,46841
21109,2010,13480
21111,2010,742054
21113,2010,48682
21115,2010,23385
21117,2010,159961
21119,2010,16355
21121,2010,31851
21123,2010,14169
21125,2010,58998
21127,2010,15866
21129,2010,7717
21131,2010,11278
21133,2010,24534
21135,2010,13837
21137,2010,24724
21139,2010,9520
21141,2010,26851
21143,2010,8329
21145,2010,65515
21147,2010,18328
21149,2010,9515
21151,2010,83468
21153,2010,13306
21155,2010,19840
21157,2010,31451
21159,2010,12895
21161,2010,17505
21163,2010,28714
21165,2010,6371
21167,2010,21308
21169,2010,10147
21171,2010,10970
21173,2010,26549
21175,2010,13726
21177,2010,31657
21179,2010,43629
21181,2010,7128
21183,2010,23834
21185,2010,60437
21187,2010,10850
21189,2010,4748
21191,2010,14915
21193,2010,28669
21195,2010,65074
21197,2010,12643
21199,2010,63190
21201,2010,2275
21203,2010,17081
21205,2010,23376
21207,2010,17573
21209,2010,47274
21211,2010,42189
21213,2010,17336
21215,2010,17201
21217,2010,24673
21219,2010,12432
21221,2010,14322
21223,2010,8812
21225,2010,15276
21227,2010,114341
21229,2010,11695
21231,2010,20850
21233,2010,13579
21235,2010,35718
21237,2010,7361
21239,2010,25040
22001,2010,61877
22003,2010,25702
22005,2010,107890
22007,2010,23333
22009,2010,42106
22011,2010,35831
22013,2010,14306
22015,2010,117675
22017,2010,255590
22019,2010,193026
22021,2010,10148
22023,2010,6917
22025,2010,10377
22027,2010,17175
22029,2010,20839
22031,2010,26670
22033,2010,440912
22035,2010,7737
22037,2010,20157
22039,2010,33956
22041,2010,20810
22043,2010,22336
22045,2010,73111
22047,2010,33388
22049,2010,16307
22051,2010,432610
22053,2010,31632
22055,2010,222315
22057,2010,96745
22059,2010,14908
22061,2010,46850
22063,2010,128337
22065,2010,12106
22067,2010,27873
22069,2010,39528
22071,2010,347772
22073,2010,153969
22075,2010,23117
22077,2010,22823
22079,2010,131760
22081,2010,9099
22083,2010,20756
22085,2010,24226
22087,2010,36824
22089,2010,52818
22091,2010,11197
22093,2010,22048
22095,2010,45591
22097,2010,83495
22099,2010,52224
22101,2010,54550
22103,2010,234544
22105,2010,121485
22107,2010,5229
22109,2010,111506
22111,2010,22833
22113,2010,58085
22115,2010,52742
22117,2010,47089
22119,2010,41199
22121,2010,23951
22123,2010,11576
22125,2010,15641
22127,2010,15303
25001,2010,215899
25003,2010,131317
25005,2010,549166
25007,2010,16572
25009,2010,745461
25011,2010,71369
25013,2010,464237
25015,2010,159329
25017,2010,1507681
25019,2010,10168
25021,2010,673019
25023,2010,495926
25025,2010,725772
25027,2010,800391
24001,2010,74965
24003,2010,539284
24005,2010,806656
24009,2010,88988
24011,2010,33052
24013,2010,167213
24015,2010,101165
24017,2010,147159
24019,2010,32688
24021,2010,234218
24023,2010,30141
24025,2010,245237
24027,2010,288627
24029,2010,20213
24031,2010,975602
24033,2010,866419
24035,2010,47806
24037,2010,105761
24039,2010,26464
24041,2010,37879
24043,2010,147721
24045,2010,98972
