file_id,region_code,file_tag,update_datetime,raw_data_instance,is_invalidated,file_processed_time
128192,US_CO,eomis_gatepass,2022-06-13T06:53:57.730633,PRIMARY,False,2022-06-13T16:21:34.960666
130370,US_CO,eomis_gatepass,2022-06-22T06:46:41.303226,PRIMARY,False,2022-06-22T15:58:29.757203
90737,US_CO,eomis_inmateprofile,2022-04-26T16:40:02.914772,PRIMARY,False,2022-04-27T21:58:52.093195
90749,US_CO,eomis_inmateprofile,2022-04-27T14:28:55.695708,PRIMARY,False,2022-04-27T22:12:24.336982
92245,US_CO,eomis_inmateprofile,2022-04-29T14:54:37.286164,PRIMARY,False,2022-04-29T20:49:46.688128
92896,US_CO,eomis_inmateprofile,2022-05-02T05:34:14.172277,PRIMARY,False,2022-05-02T14:56:12.025831
93592,US_CO,eomis_inmateprofile,2022-05-03T05:32:07.290573,PRIMARY,False,2022-05-03T14:25:11.097189
93894,US_CO,eomis_inmateprofile,2022-05-04T05:32:27.114575,PRIMARY,False,2022-05-04T14:45:40.986941
115502,US_CO,eomis_inmateprofile,2022-05-10T05:46:30.437318,PRIMARY,False,2022-05-10T18:42:37.081365
116305,US_CO,eomis_inmateprofile,2022-05-13T05:34:11.398939,PRIMARY,False,2022-05-13T17:54:06.758343
119178,US_CO,eomis_inmateprofile,2022-05-18T05:44:05.325921,PRIMARY,False,2022-05-18T19:29:08.357863
119416,US_CO,eomis_inmateprofile,2022-05-19T05:52:59.204840,PRIMARY,False,2022-05-19T15:07:48.966665
122040,US_CO,eomis_inmateprofile,2022-05-27T05:53:09.271730,PRIMARY,False,2022-05-27T14:18:24.686230
128193,US_CO,eomis_inmateprofile,2022-06-13T06:54:02.635048,PRIMARY,False,2022-06-13T16:21:34.975120
130371,US_CO,eomis_inmateprofile,2022-06-22T06:46:44.605469,PRIMARY,False,2022-06-22T15:58:29.781371
90738,US_CO,eomis_offendernamealias,2022-04-26T16:40:07.902542,PRIMARY,False,2022-04-27T21:58:52.109562
90750,US_CO,eomis_offendernamealias,2022-04-27T14:28:59.443638,PRIMARY,False,2022-04-27T22:12:24.351619
92246,US_CO,eomis_offendernamealias,2022-04-29T14:54:40.082296,PRIMARY,False,2022-04-29T20:49:46.703854
92897,US_CO,eomis_offendernamealias,2022-05-02T05:34:17.981666,PRIMARY,False,2022-05-02T14:56:12.041429
93593,US_CO,eomis_offendernamealias,2022-05-03T05:32:09.079165,PRIMARY,False,2022-05-03T14:25:11.113670
93895,US_CO,eomis_offendernamealias,2022-05-04T05:32:28.985478,PRIMARY,False,2022-05-04T14:45:41.003578
115503,US_CO,eomis_offendernamealias,2022-05-10T05:46:33.125991,PRIMARY,False,2022-05-10T18:42:37.099728
116306,US_CO,eomis_offendernamealias,2022-05-13T05:34:14.804737,PRIMARY,False,2022-05-13T17:54:06.773887
119179,US_CO,eomis_offendernamealias,2022-05-18T05:44:07.553184,PRIMARY,False,2022-05-18T19:29:08.372119
119417,US_CO,eomis_offendernamealias,2022-05-19T05:53:01.606596,PRIMARY,False,2022-05-19T15:07:49.004381
122041,US_CO,eomis_offendernamealias,2022-05-27T05:53:11.782012,PRIMARY,False,2022-05-27T14:18:24.699906
128195,US_CO,eomis_offendernamealias,2022-06-13T06:54:06.140971,PRIMARY,False,2022-06-13T16:21:35.004443
130372,US_CO,eomis_offendernamealias,2022-06-22T06:46:48.384296,PRIMARY,False,2022-06-22T15:58:29.801942
90741,US_CO,eomis_ofnrelatedaddress,2022-04-26T16:40:13.591808,PRIMARY,False,2022-04-27T21:58:52.166873
90751,US_CO,eomis_ofnrelatedaddress,2022-04-27T14:29:00.426601,PRIMARY,False,2022-04-27T22:12:24.367879
92248,US_CO,eomis_ofnrelatedaddress,2022-04-29T14:54:41.919854,PRIMARY,False,2022-04-29T20:49:46.737049
92899,US_CO,eomis_ofnrelatedaddress,2022-05-02T05:34:21.526527,PRIMARY,False,2022-05-02T14:56:12.073071
93594,US_CO,eomis_ofnrelatedaddress,2022-05-03T05:32:10.609964,PRIMARY,False,2022-05-03T14:25:11.129163
93897,US_CO,eomis_ofnrelatedaddress,2022-05-04T05:32:30.996510,PRIMARY,False,2022-05-04T14:45:41.036863
115505,US_CO,eomis_ofnrelatedaddress,2022-05-10T05:46:35.509137,PRIMARY,False,2022-05-10T18:42:37.135107
116308,US_CO,eomis_ofnrelatedaddress,2022-05-13T05:34:16.491484,PRIMARY,False,2022-05-13T17:54:06.802222
119180,US_CO,eomis_ofnrelatedaddress,2022-05-18T05:44:09.049500,PRIMARY,False,2022-05-18T19:29:08.386918
119418,US_CO,eomis_ofnrelatedaddress,2022-05-19T05:53:03.000507,PRIMARY,False,2022-05-19T15:07:49.032184
122042,US_CO,eomis_ofnrelatedaddress,2022-05-27T05:53:12.979661,PRIMARY,False,2022-05-27T14:18:24.713587
128194,US_CO,eomis_ofnrelatedaddress,2022-06-13T06:54:06.129882,PRIMARY,False,2022-06-13T16:21:34.990304
130373,US_CO,eomis_ofnrelatedaddress,2022-06-22T06:46:48.685316,PRIMARY,False,2022-06-22T15:58:29.826250
90739,US_CO,eomis_organizationprof,2022-04-26T16:40:09.013015,PRIMARY,False,2022-04-27T21:58:52.125687
90752,US_CO,eomis_organizationprof,2022-04-27T14:29:01.823501,PRIMARY,False,2022-04-27T22:12:25.927994
92247,US_CO,eomis_organizationprof,2022-04-29T14:54:41.189617,PRIMARY,False,2022-04-29T20:49:46.720593
92898,US_CO,eomis_organizationprof,2022-05-02T05:34:20.899741,PRIMARY,False,2022-05-02T14:56:12.057674
93595,US_CO,eomis_organizationprof,2022-05-03T05:32:11.978088,PRIMARY,False,2022-05-03T14:25:11.145195
93896,US_CO,eomis_organizationprof,2022-05-04T05:32:30.682955,PRIMARY,False,2022-05-04T14:45:41.019927
115507,US_CO,eomis_organizationprof,2022-05-10T05:46:37.584198,PRIMARY,False,2022-05-10T18:42:37.172088
116307,US_CO,eomis_organizationprof,2022-05-13T05:34:15.161496,PRIMARY,False,2022-05-13T17:54:06.787674
119181,US_CO,eomis_organizationprof,2022-05-18T05:44:09.390410,PRIMARY,False,2022-05-18T19:29:08.402096
119419,US_CO,eomis_organizationprof,2022-05-19T05:53:04.605615,PRIMARY,False,2022-05-19T15:07:50.422178
122043,US_CO,eomis_organizationprof,2022-05-27T05:53:13.302806,PRIMARY,False,2022-05-27T14:18:24.726738
128196,US_CO,eomis_organizationprof,2022-06-13T06:54:07.098433,PRIMARY,False,2022-06-13T16:21:35.019702
130374,US_CO,eomis_organizationprof,2022-06-22T06:46:49.003510,PRIMARY,False,2022-06-22T15:58:29.844974
115504,US_CO,eomis_plannedmovement,2022-05-10T05:46:35.495517,PRIMARY,False,2022-05-10T18:42:37.117480
116312,US_CO,eomis_plannedmovement,2022-05-13T05:34:17.803517,PRIMARY,False,2022-05-13T17:54:06.864610
119182,US_CO,eomis_plannedmovement,2022-05-18T05:44:10.804070,PRIMARY,False,2022-05-18T19:29:08.416471
119422,US_CO,eomis_plannedmovement,2022-05-19T05:53:06.918648,PRIMARY,False,2022-05-19T15:07:50.481738
122045,US_CO,eomis_plannedmovement,2022-05-27T05:53:15.391386,PRIMARY,False,2022-05-27T14:18:24.753815
128200,US_CO,eomis_plannedmovement,2022-06-13T06:54:13.421421,PRIMARY,False,2022-06-13T16:21:35.079864
130375,US_CO,eomis_plannedmovement,2022-06-22T06:46:49.881519,PRIMARY,False,2022-06-22T15:58:29.863522
90740,US_CO,eomis_ptyotherid,2022-04-26T16:40:10.913733,PRIMARY,False,2022-04-27T21:58:52.149010
90753,US_CO,eomis_ptyotherid,2022-04-27T14:29:02.401294,PRIMARY,False,2022-04-27T22:12:25.947366
92249,US_CO,eomis_ptyotherid,2022-04-29T14:54:43.036004,PRIMARY,False,2022-04-29T20:49:46.755208
92900,US_CO,eomis_ptyotherid,2022-05-02T05:34:25.178699,PRIMARY,False,2022-05-02T14:56:12.089950
93596,US_CO,eomis_ptyotherid,2022-05-03T05:32:13.601916,PRIMARY,False,2022-05-03T14:25:11.160589
93899,US_CO,eomis_ptyotherid,2022-05-04T05:32:32.779224,PRIMARY,False,2022-05-04T14:45:41.072002
115508,US_CO,eomis_ptyotherid,2022-05-10T05:46:38.301176,PRIMARY,False,2022-05-10T18:42:37.189628
116309,US_CO,eomis_ptyotherid,2022-05-13T05:34:16.727065,PRIMARY,False,2022-05-13T17:54:06.815585
119185,US_CO,eomis_ptyotherid,2022-05-18T05:44:14.067635,PRIMARY,False,2022-05-18T19:29:08.459349
119420,US_CO,eomis_ptyotherid,2022-05-19T05:53:04.811152,PRIMARY,False,2022-05-19T15:07:50.450434
122044,US_CO,eomis_ptyotherid,2022-05-27T05:53:15.379314,PRIMARY,False,2022-05-27T14:18:24.739946
128197,US_CO,eomis_ptyotherid,2022-06-13T06:54:10.260913,PRIMARY,False,2022-06-13T16:21:35.034301
130376,US_CO,eomis_ptyotherid,2022-06-22T06:46:50.801492,PRIMARY,False,2022-06-22T15:58:29.878481
93597,US_CO,eomis_relatedcodevalue,2022-05-03T05:32:14.384350,PRIMARY,False,2022-05-03T14:25:11.176597
93898,US_CO,eomis_relatedcodevalue,2022-05-04T05:32:31.393623,PRIMARY,False,2022-05-04T14:45:41.054864
115506,US_CO,eomis_relatedcodevalue,2022-05-10T05:46:37.293107,PRIMARY,False,2022-05-10T18:42:37.154883
116310,US_CO,eomis_relatedcodevalue,2022-05-13T05:34:17.298222,PRIMARY,False,2022-05-13T17:54:06.831688
119183,US_CO,eomis_relatedcodevalue,2022-05-18T05:44:12.216564,PRIMARY,False,2022-05-18T19:29:08.431173
119421,US_CO,eomis_relatedcodevalue,2022-05-19T05:53:05.397744,PRIMARY,False,2022-05-19T15:07:50.464743
122046,US_CO,eomis_relatedcodevalue,2022-05-27T05:53:17.392697,PRIMARY,False,2022-05-27T14:18:24.767768
128199,US_CO,eomis_relatedcodevalue,2022-06-13T06:54:10.887657,PRIMARY,False,2022-06-13T16:21:35.064633
130377,US_CO,eomis_relatedcodevalue,2022-06-22T06:46:51.379046,PRIMARY,False,2022-06-22T15:58:29.893558
115509,US_CO,eomis_sentcompchaining,2022-05-10T05:46:38.793632,PRIMARY,False,2022-05-10T18:42:37.206220
116311,US_CO,eomis_sentcompchaining,2022-05-13T05:34:17.732639,PRIMARY,False,2022-05-13T17:54:06.848138
119184,US_CO,eomis_sentcompchaining,2022-05-18T05:44:12.700245,PRIMARY,False,2022-05-18T19:29:08.446071
119423,US_CO,eomis_sentcompchaining,2022-05-19T05:53:07.899445,PRIMARY,False,2022-05-19T15:07:50.495334
122047,US_CO,eomis_sentcompchaining,2022-05-27T05:53:17.684798,PRIMARY,False,2022-05-27T14:18:24.781134
128198,US_CO,eomis_sentcompchaining,2022-06-13T06:54:10.646303,PRIMARY,False,2022-06-13T16:21:35.049315
130378,US_CO,eomis_sentcompchaining,2022-06-22T06:46:52.093492,PRIMARY,False,2022-06-22T15:58:29.908448
115510,US_CO,eomis_sentcreditdbt,2022-05-10T05:47:52.800525,PRIMARY,False,2022-05-10T18:42:37.221769
116313,US_CO,eomis_sentcreditdbt,2022-05-13T05:34:42.693221,PRIMARY,False,2022-05-13T17:54:06.880402
119186,US_CO,eomis_sentcreditdbt,2022-05-18T05:45:33.832798,PRIMARY,False,2022-05-18T19:29:08.473839
119424,US_CO,eomis_sentcreditdbt,2022-05-19T05:54:25.298446,PRIMARY,False,2022-05-19T15:07:50.529967
122048,US_CO,eomis_sentcreditdbt,2022-05-27T05:54:38.383239,PRIMARY,False,2022-05-27T14:18:24.795095
128201,US_CO,eomis_sentcreditdbt,2022-06-13T06:55:31.938028,PRIMARY,False,2022-06-13T16:21:35.094251
130379,US_CO,eomis_sentcreditdbt,2022-06-22T06:48:08.688291,PRIMARY,False,2022-06-22T15:58:29.923640
