file_id,region_code,file_tag,normalized_file_name,discovery_time,processed_time,update_datetime,datetimes_contained_upper_bound_inclusive,raw_data_instance,is_invalidated,file_processed_time,file_discovery_time
115497,US_CO,eomis_address,unprocessed_2022-05-10T05:44:59:490470_raw_eomis_address.csv,2022-05-10T18:42:37.001541,2022-05-10T18:43:38.652356,2022-05-10T05:44:59.490470,2022-05-10T05:44:59.490470,PRIMARY,False,2022-05-10T18:43:38.652356,2022-05-10T18:42:37.001541
116298,US_CO,eomis_address,unprocessed_2022-05-13T05:32:37:266813_raw_eomis_address.csv,2022-05-13T17:54:06.648270,2022-05-13T17:54:53.264340,2022-05-13T05:32:37.266813,2022-05-13T05:32:37.266813,PRIMARY,False,2022-05-13T17:54:53.264340,2022-05-13T17:54:06.648270
119170,US_CO,eomis_address,unprocessed_2022-05-18T05:41:21:823838_raw_eomis_address.csv,2022-05-18T19:29:08.194345,2022-05-18T19:29:47.821520,2022-05-18T05:41:21.823838,2022-05-18T05:41:21.823838,PRIMARY,False,2022-05-18T19:29:47.821520,2022-05-18T19:29:08.194345
119408,US_CO,eomis_address,unprocessed_2022-05-19T05:50:31:089320_raw_eomis_address.csv,2022-05-19T15:07:48.843314,2022-05-19T15:08:35.109540,2022-05-19T05:50:31.089320,2022-05-19T05:50:31.089320,PRIMARY,False,2022-05-19T15:08:35.109540,2022-05-19T15:07:48.843314
122032,US_CO,eomis_address,unprocessed_2022-05-27T05:50:28:486588_raw_eomis_address.csv,2022-05-27T14:18:24.573866,2022-05-27T14:19:00.542285,2022-05-27T05:50:28.486588,2022-05-27T05:50:28.486588,PRIMARY,False,2022-05-27T14:19:00.542285,2022-05-27T14:18:24.573866
128185,US_CO,eomis_address,unprocessed_2022-06-13T06:50:51:052708_raw_eomis_address.csv,2022-06-13T16:21:34.855418,2022-06-13T16:22:37.789909,2022-06-13T06:50:51.052708,2022-06-13T06:50:51.052708,PRIMARY,False,2022-06-13T16:22:37.789909,2022-06-13T16:21:34.855418
130363,US_CO,eomis_address,unprocessed_2022-06-22T06:43:35:709707_raw_eomis_address.csv,2022-06-22T15:58:29.634088,2022-06-22T15:59:09.060021,2022-06-22T06:43:35.709707,2022-06-22T06:43:35.709707,PRIMARY,False,2022-06-22T15:59:09.060021,2022-06-22T15:58:29.634088
115498,US_CO,eomis_admissionsummary,unprocessed_2022-05-10T05:45:07:515139_raw_eomis_admissionsummary.csv,2022-05-10T18:42:37.017128,2022-05-17T21:15:55.143497,2022-05-10T05:45:07.515139,2022-05-10T05:45:07.515139,PRIMARY,False,2022-05-17T21:15:55.143497,2022-05-10T18:42:37.017128
116299,US_CO,eomis_admissionsummary,unprocessed_2022-05-13T05:32:45:588352_raw_eomis_admissionsummary.csv,2022-05-13T17:54:06.668943,2022-05-17T21:15:44.797831,2022-05-13T05:32:45.588352,2022-05-13T05:32:45.588352,PRIMARY,False,2022-05-17T21:15:44.797831,2022-05-13T17:54:06.668943
119171,US_CO,eomis_admissionsummary,unprocessed_2022-05-18T05:41:29:526900_raw_eomis_admissionsummary.csv,2022-05-18T19:29:08.217859,2022-05-18T19:30:47.704222,2022-05-18T05:41:29.526900,2022-05-18T05:41:29.526900,PRIMARY,False,2022-05-18T19:30:47.704222,2022-05-18T19:29:08.217859
119409,US_CO,eomis_admissionsummary,unprocessed_2022-05-19T05:50:40:211290_raw_eomis_admissionsummary.csv,2022-05-19T15:07:48.858646,2022-05-19T15:08:56.196011,2022-05-19T05:50:40.211290,2022-05-19T05:50:40.211290,PRIMARY,False,2022-05-19T15:08:56.196011,2022-05-19T15:07:48.858646
122033,US_CO,eomis_admissionsummary,unprocessed_2022-05-27T05:50:36:499439_raw_eomis_admissionsummary.csv,2022-05-27T14:18:24.588689,2022-05-27T14:19:39.485934,2022-05-27T05:50:36.499439,2022-05-27T05:50:36.499439,PRIMARY,False,2022-05-27T14:19:39.485934,2022-05-27T14:18:24.588689
128186,US_CO,eomis_admissionsummary,unprocessed_2022-06-13T06:51:00:554450_raw_eomis_admissionsummary.csv,2022-06-13T16:21:34.870386,2022-06-13T16:23:17.379784,2022-06-13T06:51:00.554450,2022-06-13T06:51:00.554450,PRIMARY,False,2022-06-13T16:23:17.379784,2022-06-13T16:21:34.870386
130364,US_CO,eomis_admissionsummary,unprocessed_2022-06-22T06:43:48:491467_raw_eomis_admissionsummary.csv,2022-06-22T15:58:29.651211,2022-06-22T16:00:44.119576,2022-06-22T06:43:48.491467,2022-06-22T06:43:48.491467,PRIMARY,False,2022-06-22T16:00:44.119576,2022-06-22T15:58:29.651211
119172,US_CO,eomis_bedassignment,unprocessed_2022-05-18T05:42:30:626180_raw_eomis_bedassignment.csv,2022-05-18T19:29:08.254152,,2022-05-18T05:42:30.626180,2022-05-18T05:42:30.626180,PRIMARY,False,,2022-05-18T19:29:08.254152
119410,US_CO,eomis_bedassignment,unprocessed_2022-05-19T05:51:34:392724_raw_eomis_bedassignment.csv,2022-05-19T15:07:48.874036,,2022-05-19T05:51:34.392724,2022-05-19T05:51:34.392724,PRIMARY,False,,2022-05-19T15:07:48.874036
122034,US_CO,eomis_bedassignment,unprocessed_2022-05-27T05:51:38:889108_raw_eomis_bedassignment.csv,2022-05-27T14:18:24.602944,,2022-05-27T05:51:38.889108,2022-05-27T05:51:38.889108,PRIMARY,False,,2022-05-27T14:18:24.602944
128187,US_CO,eomis_bedassignment,unprocessed_2022-06-13T06:52:12:426086_raw_eomis_bedassignment.csv,2022-06-13T16:21:34.885349,,2022-06-13T06:52:12.426086,2022-06-13T06:52:12.426086,PRIMARY,False,,2022-06-13T16:21:34.885349
130365,US_CO,eomis_bedassignment,unprocessed_2022-06-22T06:44:58:801558_raw_eomis_bedassignment.csv,2022-06-22T15:58:29.667597,,2022-06-22T06:44:58.801558,2022-06-22T06:44:58.801558,PRIMARY,False,,2022-06-22T15:58:29.667597
90734,US_CO,eomis_codevaluedesc,unprocessed_2022-04-26T16:37:46:325989_raw_eomis_codevaluedesc.csv,2022-04-27T21:58:52.045807,2022-04-27T22:00:16.539822,2022-04-26T16:37:46.325989,2022-04-26T16:37:46.325989,PRIMARY,False,2022-04-27T22:00:16.539822,2022-04-27T21:58:52.045807
90746,US_CO,eomis_codevaluedesc,unprocessed_2022-04-27T14:26:54:932882_raw_eomis_codevaluedesc.csv,2022-04-27T22:12:24.287360,2022-04-27T22:14:16.622061,2022-04-27T14:26:54.932882,2022-04-27T14:26:54.932882,PRIMARY,False,2022-04-27T22:14:16.622061,2022-04-27T22:12:24.287360
92242,US_CO,eomis_codevaluedesc,unprocessed_2022-04-29T14:52:58:743716_raw_eomis_codevaluedesc.csv,2022-04-29T20:49:46.641065,2022-04-29T20:51:43.957944,2022-04-29T14:52:58.743716,2022-04-29T14:52:58.743716,PRIMARY,False,2022-04-29T20:51:43.957944,2022-04-29T20:49:46.641065
92893,US_CO,eomis_codevaluedesc,unprocessed_2022-05-02T05:31:02:923321_raw_eomis_codevaluedesc.csv,2022-05-02T14:56:11.977410,2022-05-02T14:57:51.484658,2022-05-02T05:31:02.923321,2022-05-02T05:31:02.923321,PRIMARY,False,2022-05-02T14:57:51.484658,2022-05-02T14:56:11.977410
93589,US_CO,eomis_codevaluedesc,unprocessed_2022-05-03T05:30:31:183510_raw_eomis_codevaluedesc.csv,2022-05-03T14:25:11.049088,2022-05-03T14:26:51.560024,2022-05-03T05:30:31.183510,2022-05-03T05:30:31.183510,PRIMARY,False,2022-05-03T14:26:51.560024,2022-05-03T14:25:11.049088
93891,US_CO,eomis_codevaluedesc,unprocessed_2022-05-04T05:31:05:902599_raw_eomis_codevaluedesc.csv,2022-05-04T14:45:40.933828,2022-05-04T14:46:55.437281,2022-05-04T05:31:05.902599,2022-05-04T05:31:05.902599,PRIMARY,False,2022-05-04T14:46:55.437281,2022-05-04T14:45:40.933828
115499,US_CO,eomis_codevaluedesc,unprocessed_2022-05-10T05:45:08:815991_raw_eomis_codevaluedesc.csv,2022-05-10T18:42:37.032815,2022-05-10T18:44:00.020993,2022-05-10T05:45:08.815991,2022-05-10T05:45:08.815991,PRIMARY,False,2022-05-10T18:44:00.020993,2022-05-10T18:42:37.032815
116300,US_CO,eomis_codevaluedesc,unprocessed_2022-05-13T05:32:47:824069_raw_eomis_codevaluedesc.csv,2022-05-13T17:54:06.684315,2022-05-13T17:54:31.843027,2022-05-13T05:32:47.824069,2022-05-13T05:32:47.824069,PRIMARY,False,2022-05-13T17:54:31.843027,2022-05-13T17:54:06.684315
119173,US_CO,eomis_codevaluedesc,unprocessed_2022-05-18T05:42:32:105481_raw_eomis_codevaluedesc.csv,2022-05-18T19:29:08.276272,2022-05-18T19:29:31.898053,2022-05-18T05:42:32.105481,2022-05-18T05:42:32.105481,PRIMARY,False,2022-05-18T19:29:31.898053,2022-05-18T19:29:08.276272
119411,US_CO,eomis_codevaluedesc,unprocessed_2022-05-19T05:51:35:326527_raw_eomis_codevaluedesc.csv,2022-05-19T15:07:48.889963,2022-05-19T15:08:08.827768,2022-05-19T05:51:35.326527,2022-05-19T05:51:35.326527,PRIMARY,False,2022-05-19T15:08:08.827768,2022-05-19T15:07:48.889963
122035,US_CO,eomis_codevaluedesc,unprocessed_2022-05-27T05:51:39:827847_raw_eomis_codevaluedesc.csv,2022-05-27T14:18:24.616181,2022-05-27T14:18:41.401800,2022-05-27T05:51:39.827847,2022-05-27T05:51:39.827847,PRIMARY,False,2022-05-27T14:18:41.401800,2022-05-27T14:18:24.616181
128188,US_CO,eomis_codevaluedesc,unprocessed_2022-06-13T06:52:13:943195_raw_eomis_codevaluedesc.csv,2022-06-13T16:21:34.900562,2022-06-13T16:21:55.035661,2022-06-13T06:52:13.943195,2022-06-13T06:52:13.943195,PRIMARY,False,2022-06-13T16:21:55.035661,2022-06-13T16:21:34.900562
130366,US_CO,eomis_codevaluedesc,unprocessed_2022-06-22T06:44:59:900889_raw_eomis_codevaluedesc.csv,2022-06-22T15:58:29.686392,2022-06-22T15:58:50.879669,2022-06-22T06:44:59.900889,2022-06-22T06:44:59.900889,PRIMARY,False,2022-06-22T15:58:50.879669,2022-06-22T15:58:29.686392
90735,US_CO,eomis_commitmentsummary,unprocessed_2022-04-26T16:37:59:099436_raw_eomis_commitmentsummary.csv,2022-04-27T21:58:52.061983,2022-04-27T22:01:26.408540,2022-04-26T16:37:59.099436,2022-04-26T16:37:59.099436,PRIMARY,False,2022-04-27T22:01:26.408540,2022-04-27T21:58:52.061983
90747,US_CO,eomis_commitmentsummary,unprocessed_2022-04-27T14:27:05:315281_raw_eomis_commitmentsummary.csv,2022-04-27T22:12:24.303148,2022-04-27T22:15:33.490243,2022-04-27T14:27:05.315281,2022-04-27T14:27:05.315281,PRIMARY,False,2022-04-27T22:15:33.490243,2022-04-27T22:12:24.303148
92243,US_CO,eomis_commitmentsummary,unprocessed_2022-04-29T14:53:08:918927_raw_eomis_commitmentsummary.csv,2022-04-29T20:49:46.656536,2022-04-29T20:52:39.605595,2022-04-29T14:53:08.918927,2022-04-29T14:53:08.918927,PRIMARY,False,2022-04-29T20:52:39.605595,2022-04-29T20:49:46.656536
92894,US_CO,eomis_commitmentsummary,unprocessed_2022-05-02T05:31:22:122803_raw_eomis_commitmentsummary.csv,2022-05-02T14:56:11.993693,2022-05-02T14:59:09.714011,2022-05-02T05:31:22.122803,2022-05-02T05:31:22.122803,PRIMARY,False,2022-05-02T14:59:09.714011,2022-05-02T14:56:11.993693
