gcs_file_id,file_id,region_code,file_tag,normalized_file_name,update_datetime,raw_data_instance,file_discovery_time
90736,90736,US_CO,eomis_externalmovement,unprocessed_2022-04-26T16:39:57:197984_raw_eomis_externalmovement.csv,2022-04-26T16:39:57.197984,PRIMARY,2022-04-27T21:58:52.077678
90748,90748,US_CO,eomis_externalmovement,unprocessed_2022-04-27T14:28:48:636395_raw_eomis_externalmovement.csv,2022-04-27T14:28:48.636395,PRIMARY,2022-04-27T22:12:24.321618
92244,92244,US_CO,eomis_externalmovement,unprocessed_2022-04-29T14:54:31:117245_raw_eomis_externalmovement.csv,2022-04-29T14:54:31.117245,PRIMARY,2022-04-29T20:49:46.672552
92895,92895,US_CO,eomis_externalmovement,unprocessed_2022-05-02T05:34:03:296725_raw_eomis_externalmovement.csv,2022-05-02T05:34:03.296725,PRIMARY,2022-05-02T14:56:12.009845
93591,93591,US_CO,eomis_externalmovement,unprocessed_2022-05-03T05:32:03:418968_raw_eomis_externalmovement.csv,2022-05-03T05:32:03.418968,PRIMARY,2022-05-03T14:25:11.081374
93893,93893,US_CO,eomis_externalmovement,unprocessed_2022-05-04T05:32:22:985491_raw_eomis_externalmovement.csv,2022-05-04T05:32:22.985491,PRIMARY,2022-05-04T14:45:40.969106
115501,115501,US_CO,eomis_externalmovement,unprocessed_2022-05-10T05:46:26:993545_raw_eomis_externalmovement.csv,2022-05-10T05:46:26.993545,PRIMARY,2022-05-10T18:42:37.064029
116302,116302,US_CO,eomis_externalmovement,unprocessed_2022-05-13T05:34:05:018078_raw_eomis_externalmovement.csv,2022-05-13T05:34:05.018078,PRIMARY,2022-05-13T17:54:06.715591
119175,119175,US_CO,eomis_externalmovement,unprocessed_2022-05-18T05:43:59:130658_raw_eomis_externalmovement.csv,2022-05-18T05:43:59.130658,PRIMARY,2022-05-18T19:29:08.311051
119413,119413,US_CO,eomis_externalmovement,unprocessed_2022-05-19T05:52:53:133917_raw_eomis_externalmovement.csv,2022-05-19T05:52:53.133917,PRIMARY,2022-05-19T15:07:48.922790
122037,122037,US_CO,eomis_externalmovement,unprocessed_2022-05-27T05:53:02:301251_raw_eomis_externalmovement.csv,2022-05-27T05:53:02.301251,PRIMARY,2022-05-27T14:18:24.642477
128190,128190,US_CO,eomis_externalmovement,unprocessed_2022-06-13T06:53:54:745010_raw_eomis_externalmovement.csv,2022-06-13T06:53:54.745010,PRIMARY,2022-06-13T16:21:34.931924
130368,130368,US_CO,eomis_externalmovement,unprocessed_2022-06-22T06:46:39:190207_raw_eomis_externalmovement.csv,2022-06-22T06:46:39.190207,PRIMARY,2022-06-22T15:58:29.722940
116303,116303,US_CO,eomis_facilitybed,unprocessed_2022-05-13T05:34:06:124010_raw_eomis_facilitybed.csv,2022-05-13T05:34:06.124010,PRIMARY,2022-05-13T17:54:06.729810
119176,119176,US_CO,eomis_facilitybed,unprocessed_2022-05-18T05:44:00:931397_raw_eomis_facilitybed.csv,2022-05-18T05:44:00.931397,PRIMARY,2022-05-18T19:29:08.328402
119414,119414,US_CO,eomis_facilitybed,unprocessed_2022-05-19T05:52:55:588152_raw_eomis_facilitybed.csv,2022-05-19T05:52:55.588152,PRIMARY,2022-05-19T15:07:48.937877
122038,122038,US_CO,eomis_facilitybed,unprocessed_2022-05-27T05:53:03:990312_raw_eomis_facilitybed.csv,2022-05-27T05:53:03.990312,PRIMARY,2022-05-27T14:18:24.655890
128191,128191,US_CO,eomis_facilitybed,unprocessed_2022-06-13T06:53:56:934690_raw_eomis_facilitybed.csv,2022-06-13T06:53:56.934690,PRIMARY,2022-06-13T16:21:34.946171
130369,130369,US_CO,eomis_facilitybed,unprocessed_2022-06-22T06:46:39:513941_raw_eomis_facilitybed.csv,2022-06-22T06:46:39.513941,PRIMARY,2022-06-22T15:58:29.740542
116304,116304,US_CO,eomis_gatepass,unprocessed_2022-05-13T05:34:07:907372_raw_eomis_gatepass.csv,2022-05-13T05:34:07.907372,PRIMARY,2022-05-13T17:54:06.743268
119177,119177,US_CO,eomis_gatepass,unprocessed_2022-05-18T05:44:01:846961_raw_eomis_gatepass.csv,2022-05-18T05:44:01.846961,PRIMARY,2022-05-18T19:29:08.343696
119415,119415,US_CO,eomis_gatepass,unprocessed_2022-05-19T05:52:56:804261_raw_eomis_gatepass.csv,2022-05-19T05:52:56.804261,PRIMARY,2022-05-19T15:07:48.951919
122039,122039,US_CO,eomis_gatepass,unprocessed_2022-05-27T05:53:04:591142_raw_eomis_gatepass.csv,2022-05-27T05:53:04.591142,PRIMARY,2022-05-27T14:18:24.668883
128192,128192,US_CO,eomis_gatepass,unprocessed_2022-06-13T06:53:57:730633_raw_eomis_gatepass.csv,2022-06-13T06:53:57.730633,PRIMARY,2022-06-13T16:21:34.960666
130370,130370,US_CO,eomis_gatepass,unprocessed_2022-06-22T06:46:41:303226_raw_eomis_gatepass.csv,2022-06-22T06:46:41.303226,PRIMARY,2022-06-22T15:58:29.757203
90737,90737,US_CO,eomis_inmateprofile,unprocessed_2022-04-26T16:40:02:914772_raw_eomis_inmateprofile.csv,2022-04-26T16:40:02.914772,PRIMARY,2022-04-27T21:58:52.093195
90749,90749,US_CO,eomis_inmateprofile,unprocessed_2022-04-27T14:28:55:695708_raw_eomis_inmateprofile.csv,2022-04-27T14:28:55.695708,PRIMARY,2022-04-27T22:12:24.336982
92245,92245,US_CO,eomis_inmateprofile,unprocessed_2022-04-29T14:54:37:286164_raw_eomis_inmateprofile.csv,2022-04-29T14:54:37.286164,PRIMARY,2022-04-29T20:49:46.688128
92896,92896,US_CO,eomis_inmateprofile,unprocessed_2022-05-02T05:34:14:172277_raw_eomis_inmateprofile.csv,2022-05-02T05:34:14.172277,PRIMARY,2022-05-02T14:56:12.025831
93592,93592,US_CO,eomis_inmateprofile,unprocessed_2022-05-03T05:32:07:290573_raw_eomis_inmateprofile.csv,2022-05-03T05:32:07.290573,PRIMARY,2022-05-03T14:25:11.097189
