,compartment,year,policy_total_population,control_total_population
38,prison,2021.166666626,47436.96887498056,47436.96887498056
39,prison,2021.249999959,47429.1087762866,47429.1087762866
40,prison,2021.333333292,47417.17557221356,47420.006121325976
41,prison,2021.416666625,47400.758322621405,47409.66479771875
42,prison,2021.499999958,47381.78519368409,47396.755344981466
43,prison,2021.583333291,47361.57756592159,47382.60795796244
44,prison,2021.666666624,47333.7667226771,47367.22597176071
45,prison,2021.749999957,47178.63875206083,47432.15455498823
46,prison,2021.83333329,46762.52325275796,47495.83572133259
47,prison,2021.916666623,46338.771924573724,47558.27201045445
48,prison,2021.999999956,46365.04738143966,47582.935485099
49,prison,2022.083333289,46390.629317779545,47606.87259224981
50,prison,2022.166666622,46415.56441204937,47630.08750686602
51,prison,2022.249999955,46440.12812217034,47652.63798262856
52,prison,2022.333333288,46455.478303828335,47674.476088294425
53,prison,2022.416666621,46458.64090609948,47695.60507313824
54,prison,2022.499999954,46444.01573433345,47708.28100612187
55,prison,2022.583333287,46413.29770347616,47720.24783006218
56,prison,2022.66666662,46368.428760453295,47731.508322684575
57,prison,2022.749999953,46223.7133975706,47795.21607468869
58,prison,2022.833333286,45952.106416392235,47858.14450580414
59,prison,2022.916666619,45678.079734774605,47920.294094285084
60,prison,2022.999999952,45721.79810703123,47960.713281439035
61,prison,2023.083333285,45765.59693551076,48000.64955708282
62,prison,2023.166666618,45809.669257786125,48040.10413007914
63,prison,2023.249999951,45855.014568552055,48079.059271569255
64,prison,2023.333333284,45889.952673686246,48117.536923137566
65,prison,2023.416666617,45906.705232937966,48155.53784881046
66,prison,2023.49999995,45927.42826802882,48186.886010147085
67,prison,2023.583333283,45967.106303719884,48217.754714845614
68,prison,2023.666666616,45998.55254830961,48248.14459981136
69,prison,2023.749999949,45942.67648196159,48309.32171979167
70,prison,2023.833333282,45844.96690221016,48369.926295444966
71,prison,2023.916666615,45746.56542143304,48429.95782152249
72,prison,2023.999999948,45795.54677908175,48474.78057116636
73,prison,2024.083333281,45845.58761737136,48519.06503036997
74,prison,2024.166666614,45897.1667820955,48562.81338586923
