year,prison,release,probation
2025.833333274,9312.98125581575,-3597.928715571619,-5715.052651905056
2025.916666607,9565.788658267742,-3779.3340353736503,-5786.454737928754
2025.99999994,9818.21196129606,-3960.8556529418993,-5857.356426700621
2026.083333273,10070.104328796646,-4143.661329007034,-5926.443121383351
2026.166666606,10321.304452362532,-4329.969520317008,-5991.335056815406
2026.249999939,10573.038688504192,-4520.67198100029,-6052.366835376832
2026.333333272,10827.448875402162,-4715.296200327767,-6112.152805969497
2026.416666605,11086.782276303225,-4913.973664992777,-6172.808745151119
2026.499999938,11348.173676536684,-5114.675947689265,-6233.497865476271
2026.583333271,11608.247276915885,-5316.873342100603,-6291.374074006306
2026.666666604,11867.018199541333,-5520.529463081665,-6346.488877992871
2026.749999937,12127.561370219257,-5723.885461684136,-6403.676052350853
2026.83333327,12390.055012667093,-5927.005162298095,-6463.0499964074925
2026.916666603,12654.456139970795,-6130.066228872458,-6524.390059299307
