,compartment,compartment_duration,outflow_to,total_population,crime_type,time_step
55,probation,6.0,prison,0.004764344327012463,misdemeanor,
56,probation,7.0,prison,0.002750320593533122,misdemeanor,
57,probation,8.0,prison,0.0015982167772669795,misdemeanor,
58,probation,9.0,prison,0.0009334299548776804,misdemeanor,
59,probation,10.0,prison,0.0005473412631295193,misdemeanor,
60,probation,11.0,prison,0.00032198424250462254,misdemeanor,
61,probation,12.0,prison,0.00018991839748301546,misdemeanor,
62,probation,13.0,prison,0.00011227166512614699,misdemeanor,
63,probation,14.0,prison,6.649668199275784e-05,misdemeanor,
64,probation,15.0,prison,3.9449572462544505e-05,misdemeanor,
65,probation,16.0,prison,2.343716618195278e-05,misdemeanor,
66,probation,17.0,prison,1.3941615102136708e-05,misdemeanor,
67,probation,18.0,prison,8.302404847173802e-06,misdemeanor,
68,probation,19.0,prison,4.9490895950432235e-06,misdemeanor,
69,probation,20.0,prison,2.952793813302737e-06,misdemeanor,
70,probation,21.0,prison,1.763151392915126e-06,misdemeanor,
71,probation,22.0,prison,1.053567365053608e-06,misdemeanor,
72,probation,23.0,prison,6.299747082761884e-07,misdemeanor,
73,probation,24.0,prison,3.7691852882967044e-07,misdemeanor,
74,probation,25.0,prison,2.2563886378219814e-07,misdemeanor,
75,probation,26.0,prison,1.3514605506998252e-07,misdemeanor,
76,probation,27.0,prison,8.09839683053801e-08,misdemeanor,
77,probation,28.0,prison,4.8549632189263454e-08,misdemeanor,
78,probation,29.0,prison,2.9117267823777358e-08,misdemeanor,
79,probation,30.0,prison,1.74695222519427e-08,misdemeanor,
80,probation,31.0,prison,1.0484948334965802e-08,misdemeanor,
81,probation,32.0,prison,6.2950123410486155e-09,misdemeanor,
82,probation,33.0,prison,3.780619540229804e-09,misdemeanor,
83,probation,34.0,prison,2.2712102219012393e-09,misdemeanor,
84,probation,35.0,prison,1.364810151209708e-09,misdemeanor,
85,probation,36.0,prison,8.2035326598515e-10,misdemeanor,
86,probation,37.0,prison,4.932159376759264e-10,misdemeanor,
87,probation,38.0,prison,2.9660268601324497e-10,misdemeanor,
88,probation,39.0,prison,1.7840604114507579e-10,misdemeanor,
89,probation,40.0,prison,1.0733358737676839e-10,misdemeanor,
90,probation,41.0,prison,6.458755148642739e-11,misdemeanor,
91,probation,42.0,prison,3.887271607381021e-11,misdemeanor,
92,probation,43.0,prison,2.3400219982125792e-11,misdemeanor,
93,probation,44.0,prison,1.4088681470991942e-11,misdemeanor,
94,probation,45.0,prison,8.483845081612131e-12,misdemeanor,
95,probation,46.0,prison,5.1095648304488276e-12,misdemeanor,
96,probation,47.0,prison,3.0778038861610764e-12,misdemeanor,
97,probation,48.0,prison,1.8542190820865302e-12,misdemeanor,
98,probation,49.0,prison,1.117227507780006e-12,misdemeanor,
99,probation,50.0,prison,6.732559837628388e-13,misdemeanor,
0,release,1.0,release,1.0,misdemeanor,
1,prison,1.0,prison,1.0,misdemeanor,
0,prison_shell,,probation,131626.0,felony,-5.0
1,prison_shell,,probation,132387.0,felony,-4.0
2,prison_shell,,probation,142904.0,felony,-3.0
3,prison_shell,,probation,140890.0,felony,-2.0
4,prison_shell,,probation,111689.0,felony,-1.0
5,prison_shell,,probation,104045.0,felony,0.0
6,prison_shell,,probation,104146.0,felony,1.0
7,prison_shell,,probation,90836.0,felony,2.0
8,prison_shell,,probation,89724.0,felony,3.0
0,probation,,release,134055.0,felony,-5.0
1,probation,,release,128129.0,felony,-4.0
2,probation,,release,134849.0,felony,-3.0
3,probation,,release,134970.0,felony,-2.0
4,probation,,release,119320.0,felony,-1.0
5,probation,,release,103172.0,felony,0.0
6,probation,,release,100745.0,felony,1.0
7,probation,,release,102212.0,felony,2.0
8,probation,,release,93245.0,felony,3.0
0,probation,,prison,48628.0,felony,-5.0
1,probation,,prison,47670.0,felony,-4.0
2,probation,,prison,54126.0,felony,-3.0
3,probation,,prison,53060.0,felony,-2.0
4,probation,,prison,46226.0,felony,-1.0
5,probation,,prison,39804.0,felony,0.0
6,probation,,prison,38759.0,felony,1.0
7,probation,,prison,35757.0,felony,2.0
8,probation,,prison,37763.0,felony,3.0
0,prison_shell,,probation,29061.0,misdemeanor,-5.0
1,prison_shell,,probation,28311.0,misdemeanor,-4.0
2,prison_shell,,probation,28611.0,misdemeanor,-3.0
3,prison_shell,,probation,41361.0,misdemeanor,-2.0
4,prison_shell,,probation,41831.0,misdemeanor,-1.0
5,prison_shell,,probation,34831.0,misdemeanor,0.0
6,prison_shell,,probation,33266.0,misdemeanor,1.0
7,prison_shell,,probation,28821.0,misdemeanor,2.0
8,prison_shell,,probation,25078.0,misdemeanor,3.0
0,probation,,release,32984.0,misdemeanor,-5.0
1,probation,,release,33414.0,misdemeanor,-4.0
2,probation,,release,29911.0,misdemeanor,-3.0
3,probation,,release,28105.0,misdemeanor,-2.0
4,probation,,release,41846.0,misdemeanor,-1.0
5,probation,,release,32994.0,misdemeanor,0.0
6,probation,,release,33198.0,misdemeanor,1.0
7,probation,,release,34426.0,misdemeanor,2.0
8,probation,,release,29294.0,misdemeanor,3.0
0,probation,,prison,12497.0,misdemeanor,-5.0
1,probation,,prison,11979.0,misdemeanor,-4.0
2,probation,,prison,10771.0,misdemeanor,-3.0
3,probation,,prison,9882.0,misdemeanor,-2.0
4,probation,,prison,14125.0,misdemeanor,-1.0
5,probation,,prison,13584.0,misdemeanor,0.0
6,probation,,prison,13716.0,misdemeanor,1.0
7,probation,,prison,10727.0,misdemeanor,2.0
8,probation,,prison,10129.0,misdemeanor,3.0
0,probation,,,247770.0,felony,-5.0
1,probation,,,249173.0,felony,-4.0
2,probation,,,254106.0,felony,-3.0
3,probation,,,244122.0,felony,-2.0
4,probation,,,221243.0,felony,-1.0
5,probation,,,190686.0,felony,0.0
6,probation,,,183623.0,felony,1.0
7,probation,,,166745.0,felony,2.0
8,probation,,,161120.0,felony,3.0
0,probation,,,50147.0,misdemeanor,-5.0
1,probation,,,45820.0,misdemeanor,-4.0
2,probation,,,42858.0,misdemeanor,-3.0
3,probation,,,41559.0,misdemeanor,-2.0
4,probation,,,42288.0,misdemeanor,-1.0
5,probation,,,49049.0,misdemeanor,0.0
6,probation,,,49423.0,misdemeanor,1.0
7,probation,,,43018.0,misdemeanor,2.0
8,probation,,,38193.0,misdemeanor,3.0
