,offense_code,compartment,compartment_duration,total_population,outflow_to,offense_group,time_step
3681,LIC6834,prison,2.0547570158333333,2,release,,
3682,LIC6834,prison,2.1666666666666665,5,release,,
3683,LIC6834,prison,2.25,3,release,,
3684,LIC6834,prison,2.333333333333333,2,release,,
3685,LIC6834,prison,2.4166666666666665,2,release,,
3686,LIC6834,prison,2.5,5,release,,
3687,LIC6834,prison,2.6666666666666665,2,release,,
3688,LIC6834,prison,2.75,1,release,,
3689,LIC6834,prison,2.9166666666666665,1,release,,
3690,LIC6834,prison,3.0,9,release,,
3691,LIC6834,prison,3.25,1,release,,
3692,LIC6834,prison,3.333333333333333,1,release,,
3693,LIC6834,prison,3.5,1,release,,
3694,LIC6834,prison,3.8333333333333335,1,release,,
3695,LIC6834,prison,4.0,9,release,,
3696,LIC6834,prison,4.083333333333333,1,release,,
3697,LIC6834,prison,4.416666666666667,1,release,,
3698,LIC6834,prison,4.5,1,release,,
3699,LIC6834,prison,5.0,2,release,,
3700,LIC6834,prison,7.0,1,release,,
3733,LIC6860,jail,0.0054757015833333325,1,release,,
3734,LIC6860,jail,0.27378507875,1,release,,
3735,LIC6860,jail,0.5,1,release,,
3736,LIC6860,prison,0.75,2,release,,
3737,LIC6860,prison,1.0,4,release,,
3738,LIC6860,prison,1.0273785075,3,release,,
3739,LIC6860,prison,1.0821355233333334,1,release,,
3740,LIC6860,prison,1.1666666666666667,3,release,,
3741,LIC6860,prison,1.2464065708333334,7,release,,
3742,LIC6860,prison,1.25,9,release,,
3743,LIC6860,prison,1.3333333333333333,1,release,,
3744,LIC6860,prison,1.4166666666666667,1,release,,
3745,LIC6860,prison,1.5,9,release,,
3746,LIC6860,prison,1.6666666666666667,1,release,,
3747,LIC6860,prison,1.75,5,release,,
3748,LIC6860,prison,1.8333333333333333,3,release,,
3749,LIC6860,prison,2.0,32,release,,
3750,LIC6860,prison,2.0213894591666666,1,release,,
3751,LIC6860,prison,2.0273785075,1,release,,
3752,LIC6860,prison,2.1666666666666665,2,release,,
3753,LIC6860,prison,2.25,1,release,,
3754,LIC6860,prison,2.333333333333333,1,release,,
3755,LIC6860,prison,2.5,2,release,,
3756,LIC6860,prison,2.5136892541666667,1,release,,
3757,LIC6860,prison,2.5273785075,1,release,,
3758,LIC6860,prison,2.583333333333333,1,release,,
3759,LIC6860,prison,3.0,5,release,,
3760,LIC6860,prison,3.5,1,release,,
3761,LIC6860,prison,4.0,6,release,,
3762,LIC6860,prison,4.5,1,release,,
3763,LIC6860,prison,5.0,5,release,,
4654,NAR3038,jail,0.16666666666666666,1,release,,
4655,NAR3038,jail,0.2464065708333333,1,release,,
4656,NAR3038,jail,0.5,1,release,,
4657,NAR3038,prison,0.5,1,release,,
4658,NAR3038,prison,0.6666666666666666,1,release,,
4659,NAR3038,prison,1.0,3,release,,
4660,NAR3038,prison,1.4166666666666667,1,release,,
4661,NAR3038,prison,1.5,2,release,,
4662,NAR3038,prison,1.5833333333333333,1,release,,
4663,NAR3038,prison,1.6666666666666667,2,release,,
4664,NAR3038,prison,1.75,1,release,,
4665,NAR3038,prison,1.9166666666666667,1,release,,
4666,NAR3038,prison,2.0,6,release,,
4667,NAR3038,prison,2.083333333333333,1,release,,
4668,NAR3038,prison,2.5,2,release,,
4669,NAR3038,prison,2.75,1,release,,
4670,NAR3038,prison,2.833333333333333,1,release,,
4671,NAR3038,prison,3.0,170,release,,
4672,NAR3038,prison,3.0547570158333333,1,release,,
4673,NAR3038,prison,3.083333333333333,3,release,,
4674,NAR3038,prison,3.1666666666666665,2,release,,
4675,NAR3038,prison,3.25,5,release,,
4676,NAR3038,prison,3.4166666666666665,2,release,,
4677,NAR3038,prison,3.5,21,release,,
4678,NAR3038,prison,3.583333333333333,1,release,,
4679,NAR3038,prison,3.6666666666666665,4,release,,
4680,NAR3038,prison,3.75,5,release,,
4681,NAR3038,prison,3.8333333333333335,3,release,,
4682,NAR3038,prison,4.0,59,release,,
4683,NAR3038,prison,4.002737850833333,1,release,,
4684,NAR3038,prison,4.082135523333333,1,release,,
4685,NAR3038,prison,4.166666666666667,2,release,,
4686,NAR3038,prison,4.246406570833334,1,release,,
4687,NAR3038,prison,4.25,2,release,,
4688,NAR3038,prison,4.333333333333333,1,release,,
4689,NAR3038,prison,4.416666666666667,1,release,,
4690,NAR3038,prison,4.5,8,release,,
4691,NAR3038,prison,4.582135523333333,1,release,,
4692,NAR3038,prison,4.583333333333333,4,release,,
4693,NAR3038,prison,4.75,1,release,,
4694,NAR3038,prison,4.916666666666667,2,release,,
4695,NAR3038,prison,5.0,73,release,,
4696,NAR3038,prison,5.083333333333333,2,release,,
4697,NAR3038,prison,5.1642710475,1,release,,
4698,NAR3038,prison,5.25,2,release,,
4699,NAR3038,prison,5.333333333333333,1,release,,
4700,NAR3038,prison,5.416666666666668,3,release,,
4701,NAR3038,prison,5.5,8,release,,
4702,NAR3038,prison,5.583333333333332,1,release,,
4703,NAR3038,prison,5.666666666666668,1,release,,
4704,NAR3038,prison,5.75,1,release,,
4705,NAR3038,prison,5.832135523333334,1,release,,
4706,NAR3038,prison,5.916666666666668,1,release,,
4707,NAR3038,prison,6.0,76,release,,
4708,NAR3038,prison,6.1642710475000015,1,release,,
4709,NAR3038,prison,6.25,3,release,,
4710,NAR3038,prison,6.333333333333332,2,release,,
4711,NAR3038,prison,6.416666666666668,2,release,,
4712,NAR3038,prison,6.5,5,release,,
4713,NAR3038,prison,7.0,23,release,,
4714,NAR3038,prison,7.166666666666668,2,release,,
4715,NAR3038,prison,7.25,1,release,,
4716,NAR3038,prison,7.416666666666668,1,release,,
4717,NAR3038,prison,7.5,10,release,,
4718,NAR3038,prison,7.516427105000001,1,release,,
4719,NAR3038,prison,7.666666666666668,1,release,,
4720,NAR3038,prison,7.75,1,release,,
4721,NAR3038,prison,7.833333333333332,1,release,,
4722,NAR3038,prison,7.916666666666668,1,release,,
4723,NAR3038,prison,8.0,29,release,,
4724,NAR3038,prison,8.013689254166666,1,release,,
4725,NAR3038,prison,8.083333333333334,1,release,,
4726,NAR3038,prison,8.166666666666666,2,release,,
4727,NAR3038,prison,8.5,5,release,,
4728,NAR3038,prison,8.833333333333334,1,release,,
4729,NAR3038,prison,9.0,25,release,,
4730,NAR3038,prison,9.13809035,1,release,,
4731,NAR3038,prison,9.25,1,release,,
4732,NAR3038,prison,9.333333333333334,1,release,,
4733,NAR3038,prison,9.5,1,release,,
4734,NAR3038,prison,9.916666666666666,1,release,,
4735,NAR3038,prison,10.0,31,release,,
4736,NAR3038,prison,10.5,2,release,,
4737,NAR3038,prison,11.0,6,release,,
4738,NAR3038,prison,11.5,1,release,,
4739,NAR3038,prison,12.0,11,release,,
4740,NAR3038,prison,13.0,5,release,,
4741,NAR3038,prison,13.416666666666664,1,release,,
4742,NAR3038,prison,14.0,3,release,,
4743,NAR3038,prison,15.0,8,release,,
4744,NAR3038,prison,16.0,1,release,,
4745,NAR3038,prison,17.0,1,release,,
4746,NAR3038,prison,20.0,3,release,,
4747,NAR3038,prison,21.0,1,release,,
4748,NAR3038,prison,22.0,1,release,,
4749,NAR3038,prison,23.5,1,release,,
4750,NAR3038,prison,24.66666666666667,1,release,,
4751,NAR3038,prison,50.0,1,release,,
5318,NAR3087,jail,0.25,1,release,,
5319,NAR3087,jail,0.4166666666666667,1,release,,
5320,NAR3087,prison,1.0,1,release,,
5321,NAR3087,prison,1.5,1,release,,
5322,NAR3087,prison,2.0,2,release,,
5323,NAR3087,prison,3.0,6,release,,
5324,NAR3087,prison,3.1666666666666665,1,release,,
5325,NAR3087,prison,3.333333333333333,1,release,,
5326,NAR3087,prison,3.5,1,release,,
5327,NAR3087,prison,3.75,1,release,,
5328,NAR3087,prison,3.9166666666666665,1,release,,
5329,NAR3087,prison,4.0,3,release,,
5330,NAR3087,prison,5.0,3,release,,
5331,NAR3087,prison,6.0,4,release,,
5332,NAR3087,prison,6.416666666666668,1,release,,
5333,NAR3087,prison,6.583333333333332,1,release,,
5334,NAR3087,prison,7.0,3,release,,
5335,NAR3087,prison,8.0,6,release,,
5336,NAR3087,prison,9.0,3,release,,
5337,NAR3087,prison,9.166666666666666,1,release,,
5338,NAR3087,prison,10.0,66,release,,
5339,NAR3087,prison,10.5,2,release,,
5340,NAR3087,prison,10.75,1,release,,
5341,NAR3087,prison,11.0,5,release,,
5342,NAR3087,prison,12.0,9,release,,
5343,NAR3087,prison,12.5,1,release,,
5344,NAR3087,prison,13.0,6,release,,
5345,NAR3087,prison,14.0,6,release,,
5346,NAR3087,prison,15.0,11,release,,
