,compartment,outflow_to,tis_percentage,race,compartment_duration,total_population,time_step
315,prison,probation,85%,non-white,864.0,0.0,
316,prison,probation,85%,non-white,876.0,0.0,
317,prison,probation,85%,non-white,888.0,0.0,
318,prison,probation,85%,non-white,900.0,0.0,
319,prison,probation,85%,non-white,912.0,0.0,
320,prison,probation,85%,non-white,924.0,0.0014144270000000002,
321,prison,probation,85%,non-white,936.0,0.0,
322,prison,probation,85%,non-white,948.0,0.0,
323,prison,probation,85%,non-white,960.0,0.0,
324,prison,probation,75%,white,0.0,0.0,
325,prison,probation,75%,white,12.0,0.011904762,
326,prison,probation,75%,white,24.0,0.023809524,
327,prison,probation,75%,white,36.0,0.083333333,
328,prison,probation,75%,white,48.0,0.113095238,
329,prison,probation,75%,white,60.0,0.113095238,
330,prison,probation,75%,white,72.0,0.113095238,
331,prison,probation,75%,white,84.0,0.125,
332,prison,probation,75%,white,96.0,0.083333333,
333,prison,probation,75%,white,108.0,0.077380952,
334,prison,probation,75%,white,120.0,0.05952381,
335,prison,probation,75%,white,132.0,0.071428571,
336,prison,probation,75%,white,144.0,0.029761905,
337,prison,probation,75%,white,156.0,0.035714286,
338,prison,probation,75%,white,168.0,0.029761905,
339,prison,probation,75%,white,180.0,0.0,
340,prison,probation,75%,white,192.0,0.0,
341,prison,probation,75%,white,204.0,0.011904762,
342,prison,probation,75%,white,216.0,0.0,
343,prison,probation,75%,white,228.0,0.005952381,
344,prison,probation,75%,white,240.0,0.0,
345,prison,probation,75%,white,252.0,0.0,
346,prison,probation,75%,white,264.0,0.005952381,
347,prison,probation,75%,white,276.0,0.0,
348,prison,probation,75%,white,288.0,0.0,
349,prison,probation,75%,white,300.0,0.0,
350,prison,probation,75%,white,312.0,0.0,
351,prison,probation,75%,white,324.0,0.0,
352,prison,probation,75%,white,336.0,0.0,
353,prison,probation,75%,white,348.0,0.005952381,
354,prison,probation,75%,white,360.0,0.0,
355,prison,probation,75%,non-white,0.0,0.0,
356,prison,probation,75%,non-white,12.0,0.010714286000000002,
357,prison,probation,75%,non-white,24.0,0.032142857000000004,
358,prison,probation,75%,non-white,36.0,0.071428571,
359,prison,probation,75%,non-white,48.0,0.046428570999999995,
360,prison,probation,75%,non-white,60.0,0.089285714,
361,prison,probation,75%,non-white,72.0,0.132142857,
362,prison,probation,75%,non-white,84.0,0.175,
363,prison,probation,75%,non-white,96.0,0.121428571,
364,prison,probation,75%,non-white,108.0,0.075,
365,prison,probation,75%,non-white,120.0,0.057142857000000005,
366,prison,probation,75%,non-white,132.0,0.039285714,
367,prison,probation,75%,non-white,144.0,0.010714286000000002,
368,prison,probation,75%,non-white,156.0,0.025,
369,prison,probation,75%,non-white,168.0,0.010714286000000002,
370,prison,probation,75%,non-white,180.0,0.025,
371,prison,probation,75%,non-white,192.0,0.010714286000000002,
372,prison,probation,75%,non-white,204.0,0.014285714,
373,prison,probation,75%,non-white,216.0,0.017857143,
374,prison,probation,75%,non-white,228.0,0.010714286000000002,
375,prison,probation,75%,non-white,240.0,0.003571429,
376,prison,probation,75%,non-white,252.0,0.0,
377,prison,probation,75%,non-white,264.0,0.007142857,
378,prison,probation,75%,non-white,276.0,0.0,
379,prison,probation,75%,non-white,288.0,0.0,
380,prison,probation,75%,non-white,300.0,0.007142857,
381,prison,probation,75%,non-white,312.0,0.007142857,
382,prison,probation,75%,non-white,324.0,0.0,
383,prison,probation,75%,non-white,336.0,0.0,
384,prison,probation,75%,non-white,348.0,0.0,
385,prison,probation,75%,non-white,360.0,0.0,
0,probation,release,100%,white,36.0,0.584,
1,probation,release,100%,non-white,36.0,0.584,
2,probation,release,85%,white,36.0,0.584,
3,probation,release,85%,non-white,36.0,0.584,
4,probation,release,75%,white,36.0,0.584,
5,probation,release,75%,non-white,36.0,0.584,
6,probation,prison,100%,white,12.0,0.244,
7,probation,prison,100%,non-white,12.0,0.244,
8,probation,prison,85%,white,12.0,0.244,
9,probation,prison,85%,non-white,12.0,0.244,
10,probation,prison,75%,white,12.0,0.244,
11,probation,prison,75%,non-white,12.0,0.244,
12,probation,prison,100%,white,24.0,0.11699999999999999,
13,probation,prison,100%,non-white,24.0,0.11699999999999999,
14,probation,prison,85%,white,24.0,0.11699999999999999,
15,probation,prison,85%,non-white,24.0,0.11699999999999999,
16,probation,prison,75%,white,24.0,0.11699999999999999,
17,probation,prison,75%,non-white,24.0,0.11699999999999999,
18,probation,prison,100%,white,36.0,0.055,
19,probation,prison,100%,non-white,36.0,0.055,
20,probation,prison,85%,white,36.0,0.055,
21,probation,prison,85%,non-white,36.0,0.055,
22,probation,prison,75%,white,36.0,0.055,
23,probation,prison,75%,non-white,36.0,0.055,
0,release,release,100%,white,960.0,1.0,
1,release,release,100%,non-white,960.0,1.0,
2,release,release,85%,white,960.0,1.0,
3,release,release,85%,non-white,960.0,1.0,
4,release,release,75%,white,960.0,1.0,
5,release,release,75%,non-white,960.0,1.0,
0,pretrial,prison,100%,white,,4.0,0.0
1,pretrial,prison,100%,white,,4.0,1.0
2,pretrial,prison,100%,white,,4.0,2.0
3,pretrial,prison,100%,white,,4.0,3.0
4,pretrial,prison,100%,white,,4.0,4.0
5,pretrial,prison,100%,white,,4.0,5.0
6,pretrial,prison,100%,white,,4.0,6.0
7,pretrial,prison,100%,white,,4.0,7.0
8,pretrial,prison,100%,white,,4.0,8.0
9,pretrial,prison,100%,white,,4.0,9.0
10,pretrial,prison,100%,white,,4.0,10.0
11,pretrial,prison,100%,white,,4.0,11.0
12,pretrial,prison,100%,non-white,,15.583333333333334,0.0
13,pretrial,prison,100%,non-white,,15.583333333333334,1.0
14,pretrial,prison,100%,non-white,,15.583333333333334,2.0
15,pretrial,prison,100%,non-white,,15.583333333333334,3.0
16,pretrial,prison,100%,non-white,,15.583333333333334,4.0
17,pretrial,prison,100%,non-white,,15.583333333333334,5.0
18,pretrial,prison,100%,non-white,,15.583333333333334,6.0
19,pretrial,prison,100%,non-white,,15.583333333333334,7.0
20,pretrial,prison,100%,non-white,,15.583333333333334,8.0
21,pretrial,prison,100%,non-white,,15.583333333333334,9.0
22,pretrial,prison,100%,non-white,,15.583333333333334,10.0
23,pretrial,prison,100%,non-white,,15.583333333333334,11.0
24,pretrial,prison,85%,white,,22.666666666666668,0.0
25,pretrial,prison,85%,white,,22.666666666666668,1.0
26,pretrial,prison,85%,white,,22.666666666666668,2.0
27,pretrial,prison,85%,white,,22.666666666666668,3.0
28,pretrial,prison,85%,white,,22.666666666666668,4.0
29,pretrial,prison,85%,white,,22.666666666666668,5.0
30,pretrial,prison,85%,white,,22.666666666666668,6.0
31,pretrial,prison,85%,white,,22.666666666666668,7.0
32,pretrial,prison,85%,white,,22.666666666666668,8.0
33,pretrial,prison,85%,white,,22.666666666666668,9.0
34,pretrial,prison,85%,white,,22.666666666666668,10.0
35,pretrial,prison,85%,white,,22.666666666666668,11.0
36,pretrial,prison,85%,non-white,,63.833333333333336,0.0
37,pretrial,prison,85%,non-white,,63.833333333333336,1.0
38,pretrial,prison,85%,non-white,,63.833333333333336,2.0
39,pretrial,prison,85%,non-white,,63.833333333333336,3.0
40,pretrial,prison,85%,non-white,,63.833333333333336,4.0
41,pretrial,prison,85%,non-white,,63.833333333333336,5.0
42,pretrial,prison,85%,non-white,,63.833333333333336,6.0
43,pretrial,prison,85%,non-white,,63.833333333333336,7.0
44,pretrial,prison,85%,non-white,,63.833333333333336,8.0
45,pretrial,prison,85%,non-white,,63.833333333333336,9.0
46,pretrial,prison,85%,non-white,,63.833333333333336,10.0
47,pretrial,prison,85%,non-white,,63.833333333333336,11.0
48,pretrial,prison,75%,white,,2.25,0.0
49,pretrial,prison,75%,white,,2.25,1.0
50,pretrial,prison,75%,white,,2.25,2.0
51,pretrial,prison,75%,white,,2.25,3.0
52,pretrial,prison,75%,white,,2.25,4.0
53,pretrial,prison,75%,white,,2.25,5.0
54,pretrial,prison,75%,white,,2.25,6.0
55,pretrial,prison,75%,white,,2.25,7.0
56,pretrial,prison,75%,white,,2.25,8.0
57,pretrial,prison,75%,white,,2.25,9.0
58,pretrial,prison,75%,white,,2.25,10.0
59,pretrial,prison,75%,white,,2.25,11.0
60,pretrial,prison,75%,non-white,,4.25,0.0
61,pretrial,prison,75%,non-white,,4.25,1.0
62,pretrial,prison,75%,non-white,,4.25,2.0
63,pretrial,prison,75%,non-white,,4.25,3.0
64,pretrial,prison,75%,non-white,,4.25,4.0
65,pretrial,prison,75%,non-white,,4.25,5.0
66,pretrial,prison,75%,non-white,,4.25,6.0
67,pretrial,prison,75%,non-white,,4.25,7.0
68,pretrial,prison,75%,non-white,,4.25,8.0
69,pretrial,prison,75%,non-white,,4.25,9.0
70,pretrial,prison,75%,non-white,,4.25,10.0
71,pretrial,prison,75%,non-white,,4.25,11.0
0,pretrial,prison,100%,white,,3.5833333333333335,12.0
1,pretrial,prison,100%,white,,3.5833333333333335,13.0
2,pretrial,prison,100%,white,,3.5833333333333335,14.0
3,pretrial,prison,100%,white,,3.5833333333333335,15.0
4,pretrial,prison,100%,white,,3.5833333333333335,16.0
5,pretrial,prison,100%,white,,3.5833333333333335,17.0
6,pretrial,prison,100%,white,,3.5833333333333335,18.0
7,pretrial,prison,100%,white,,3.5833333333333335,19.0
8,pretrial,prison,100%,white,,3.5833333333333335,20.0
9,pretrial,prison,100%,white,,3.5833333333333335,21.0
10,pretrial,prison,100%,white,,3.5833333333333335,22.0
11,pretrial,prison,100%,white,,3.5833333333333335,23.0
12,pretrial,prison,100%,non-white,,13.416666666666666,12.0
13,pretrial,prison,100%,non-white,,13.416666666666666,13.0
14,pretrial,prison,100%,non-white,,13.416666666666666,14.0
15,pretrial,prison,100%,non-white,,13.416666666666666,15.0
