,compartment,outflow_to,race,compartment_duration,total_population,time_step
0,pretrial,prison,white,,11.833333333333334,36
1,pretrial,prison,white,,11.833333333333334,37
2,pretrial,prison,white,,11.833333333333334,38
3,pretrial,prison,white,,11.833333333333334,39
4,pretrial,prison,white,,11.833333333333334,40
5,pretrial,prison,white,,11.833333333333334,41
6,pretrial,prison,white,,11.833333333333334,42
7,pretrial,prison,white,,11.833333333333334,43
8,pretrial,prison,white,,11.833333333333334,44
9,pretrial,prison,white,,11.833333333333334,45
10,pretrial,prison,white,,11.833333333333334,46
11,pretrial,prison,white,,11.833333333333334,47
12,pretrial,prison,non-white,,24.166666666666668,36
13,pretrial,prison,non-white,,24.166666666666668,37
14,pretrial,prison,non-white,,24.166666666666668,38
15,pretrial,prison,non-white,,24.166666666666668,39
16,pretrial,prison,non-white,,24.166666666666668,40
17,pretrial,prison,non-white,,24.166666666666668,41
18,pretrial,prison,non-white,,24.166666666666668,42
19,pretrial,prison,non-white,,24.166666666666668,43
20,pretrial,prison,non-white,,24.166666666666668,44
21,pretrial,prison,non-white,,24.166666666666668,45
22,pretrial,prison,non-white,,24.166666666666668,46
23,pretrial,prison,non-white,,24.166666666666668,47
0,pretrial,prison,white,,10.583333333333334,48
1,pretrial,prison,white,,10.583333333333334,49
2,pretrial,prison,white,,10.583333333333334,50
3,pretrial,prison,white,,10.583333333333334,51
4,pretrial,prison,white,,10.583333333333334,52
5,pretrial,prison,white,,10.583333333333334,53
6,pretrial,prison,white,,10.583333333333334,54
7,pretrial,prison,white,,10.583333333333334,55
8,pretrial,prison,white,,10.583333333333334,56
9,pretrial,prison,white,,10.583333333333334,57
10,pretrial,prison,white,,10.583333333333334,58
11,pretrial,prison,white,,10.583333333333334,59
12,pretrial,prison,non-white,,19.333333333333332,48
13,pretrial,prison,non-white,,19.333333333333332,49
14,pretrial,prison,non-white,,19.333333333333332,50
15,pretrial,prison,non-white,,19.333333333333332,51
16,pretrial,prison,non-white,,19.333333333333332,52
17,pretrial,prison,non-white,,19.333333333333332,53
