statute_code,is_assaultive_misdemeanor,requires_so_registration,is_excluded_from_trs,is_excluded_from_parole_ed,is_excluded_from_probation_ed,is_owi_ouil
750.174A5A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.174A5B,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.174A6A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.174A7A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.174B,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.175,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.176,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.177,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.1772A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.1773A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.1774A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.177A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.178,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.1783A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.1783B,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.204,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.2042A,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.2042B,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.2042C,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.2042D,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.2042E,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.204A,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.204B,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.204C,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
750.214,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
750.2231,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.2232,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.2232A,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.2234,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.224B,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.224E,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.224F,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.224F6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.225,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.227,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.227B,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.227B-A1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.227BA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.227BB,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.227BC,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.227C,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.227D,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.227F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.227G9A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.227G9B,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.228,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.229,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
750.230,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
750.231C5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
750.232,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
