county_fips,geoid
20127,0500000US20127
20129,0500000US20129
20131,0500000US20131
20133,0500000US20133
20135,0500000US20135
20137,0500000US20137
20139,0500000US20139
20141,0500000US20141
20143,0500000US20143
20145,0500000US20145
20147,0500000US20147
20149,0500000US20149
20151,0500000US20151
20153,0500000US20153
20155,0500000US20155
20157,0500000US20157
20159,0500000US20159
20161,0500000US20161
20163,0500000US20163
20165,0500000US20165
20167,0500000US20167
20169,0500000US20169
20171,0500000US20171
20173,0500000US20173
20175,0500000US20175
20177,0500000US20177
20179,0500000US20179
20181,0500000US20181
20183,0500000US20183
20185,0500000US20185
20187,0500000US20187
20189,0500000US20189
20191,0500000US20191
20193,0500000US20193
20195,0500000US20195
20197,0500000US20197
20199,0500000US20199
20201,0500000US20201
20203,0500000US20203
20205,0500000US20205
20207,0500000US20207
20209,0500000US20209
21001,0500000US21001
21003,0500000US21003
21005,0500000US21005
21007,0500000US21007
21009,0500000US21009
21011,0500000US21011
21013,0500000US21013
21015,0500000US21015
21017,0500000US21017
21019,0500000US21019
21021,0500000US21021
21023,0500000US21023
21025,0500000US21025
21027,0500000US21027
21029,0500000US21029
21031,0500000US21031
21033,0500000US21033
21035,0500000US21035
21037,0500000US21037
21039,0500000US21039
21041,0500000US21041
21043,0500000US21043
21045,0500000US21045
21047,0500000US21047
21049,0500000US21049
21051,0500000US21051
21053,0500000US21053
21055,0500000US21055
21057,0500000US21057
21059,0500000US21059
21061,0500000US21061
21063,0500000US21063
21065,0500000US21065
21067,0500000US21067
21069,0500000US21069
21071,0500000US21071
21073,0500000US21073
21075,0500000US21075
21077,0500000US21077
21079,0500000US21079
21081,0500000US21081
21083,0500000US21083
21085,0500000US21085
21087,0500000US21087
21089,0500000US21089
21091,0500000US21091
21093,0500000US21093
21095,0500000US21095
21097,0500000US21097
21099,0500000US21099
21101,0500000US21101
21103,0500000US21103
21105,0500000US21105
21107,0500000US21107
21109,0500000US21109
21111,0500000US21111
21113,0500000US21113
21115,0500000US21115
21117,0500000US21117
21119,0500000US21119
21121,0500000US21121
21123,0500000US21123
21125,0500000US21125
21127,0500000US21127
21129,0500000US21129
21131,0500000US21131
21133,0500000US21133
21135,0500000US21135
21137,0500000US21137
21139,0500000US21139
21141,0500000US21141
21143,0500000US21143
21145,0500000US21145
21147,0500000US21147
21149,0500000US21149
21151,0500000US21151
21153,0500000US21153
21155,0500000US21155
21157,0500000US21157
21159,0500000US21159
21161,0500000US21161
21163,0500000US21163
21165,0500000US21165
21167,0500000US21167
21169,0500000US21169
21171,0500000US21171
21173,0500000US21173
21175,0500000US21175
21177,0500000US21177
21179,0500000US21179
21181,0500000US21181
21183,0500000US21183
21185,0500000US21185
21187,0500000US21187
21189,0500000US21189
21191,0500000US21191
21193,0500000US21193
21195,0500000US21195
21197,0500000US21197
21199,0500000US21199
21201,0500000US21201
21203,0500000US21203
21205,0500000US21205
21207,0500000US21207
21209,0500000US21209
21211,0500000US21211
21213,0500000US21213
21215,0500000US21215
21217,0500000US21217
21219,0500000US21219
21221,0500000US21221
21223,0500000US21223
21225,0500000US21225
21227,0500000US21227
21229,0500000US21229
21231,0500000US21231
21233,0500000US21233
21235,0500000US21235
21237,0500000US21237
21239,0500000US21239
22001,0500000US22001
22003,0500000US22003
22005,0500000US22005
22007,0500000US22007
22009,0500000US22009
22011,0500000US22011
22013,0500000US22013
22015,0500000US22015
22017,0500000US22017
22019,0500000US22019
22021,0500000US22021
22023,0500000US22023
22025,0500000US22025
22027,0500000US22027
22029,0500000US22029
22031,0500000US22031
22033,0500000US22033
22035,0500000US22035
22037,0500000US22037
22039,0500000US22039
22041,0500000US22041
22043,0500000US22043
22045,0500000US22045
22047,0500000US22047
22049,0500000US22049
22051,0500000US22051
22053,0500000US22053
22055,0500000US22055
